graph,seed,method,K0,m,bytes_per_vertex,mean_exp,reduction_pct,all_optimal,nominal_fwd,nominal_bwd,unique_fwd,unique_bwd,duplicates_fwd,duplicates_bwd,effective_unique_total,effective_unique_ratio
modena,42,AAC,64,16,64,2192.02,86.25739316662633,True,8,8,8,8,0,0,16,1.0
modena,42,Random-Subset,64,16,64,2171.37,86.38685586820259,True,8,8,8,8,0,0,16,1.0
modena,42,FPS-Subset,64,16,64,1403.96,91.19804094406835,True,8,8,8,8,0,0,16,1.0
modena,42,Greedy-Maximize,64,16,64,1363.77,91.45000733517486,True,8,8,8,8,0,0,16,1.0
modena,123,AAC,64,16,64,1923.3,87.94210101977738,True,8,8,8,8,0,0,16,1.0
modena,123,Random-Subset,64,16,64,2156.74,86.47857690084474,True,8,8,8,8,0,0,16,1.0
modena,123,FPS-Subset,64,16,64,1403.96,91.19804094406835,True,8,8,8,8,0,0,16,1.0
modena,123,Greedy-Maximize,64,16,64,1363.77,91.45000733517486,True,8,8,8,8,0,0,16,1.0
modena,456,AAC,64,16,64,1634.46,89.75294880298723,True,8,8,8,8,0,0,16,1.0
modena,456,Random-Subset,64,16,64,2225.64,86.0466166035758,True,8,8,8,8,0,0,16,1.0
modena,456,FPS-Subset,64,16,64,1403.96,91.19804094406835,True,8,8,8,8,0,0,16,1.0
modena,456,Greedy-Maximize,64,16,64,1363.77,91.45000733517486,True,8,8,8,8,0,0,16,1.0
modena,789,AAC,64,16,64,1737.35,89.10789227198578,True,8,8,8,8,0,0,16,1.0
modena,789,Random-Subset,64,16,64,1932.9,87.88191496964993,True,8,8,8,8,0,0,16,1.0
modena,789,FPS-Subset,64,16,64,1403.96,91.19804094406835,True,8,8,8,8,0,0,16,1.0
modena,789,Greedy-Maximize,64,16,64,1363.77,91.45000733517486,True,8,8,8,8,0,0,16,1.0
modena,1024,AAC,64,16,64,1959.86,87.71289247887533,True,8,8,8,8,0,0,16,1.0
modena,1024,Random-Subset,64,16,64,2112.85,86.75373999877121,True,8,8,8,8,0,0,16,1.0
modena,1024,FPS-Subset,64,16,64,1403.96,91.19804094406835,True,8,8,8,8,0,0,16,1.0
modena,1024,Greedy-Maximize,64,16,64,1363.77,91.45000733517486,True,8,8,8,8,0,0,16,1.0
manhattan,42,AAC,64,16,64,287.57,87.65163323757628,True,8,8,8,8,0,0,16,1.0
manhattan,42,Random-Subset,64,16,64,294.57,87.35105053654011,True,8,8,8,8,0,0,16,1.0
manhattan,42,FPS-Subset,64,16,64,222.73,90.43588785688829,True,8,8,8,8,0,0,16,1.0
manhattan,42,Greedy-Maximize,64,16,64,198.47,91.47762161790786,True,8,8,8,8,0,0,16,1.0
manhattan,123,AAC,64,16,64,254.54,89.06995418260829,True,8,8,8,8,0,0,16,1.0
manhattan,123,Random-Subset,64,16,64,243.43,89.54702186953853,True,8,8,8,8,0,0,16,1.0
manhattan,123,FPS-Subset,64,16,64,222.73,90.43588785688829,True,8,8,8,8,0,0,16,1.0
manhattan,123,Greedy-Maximize,64,16,64,198.47,91.47762161790786,True,8,8,8,8,0,0,16,1.0
manhattan,456,AAC,64,16,64,311.56,86.62149338073952,True,8,8,8,8,0,0,16,1.0
manhattan,456,Random-Subset,64,16,64,332.65,85.71588064290346,True,8,8,8,8,0,0,16,1.0
manhattan,456,FPS-Subset,64,16,64,222.73,90.43588785688829,True,8,8,8,8,0,0,16,1.0
manhattan,456,Greedy-Maximize,64,16,64,198.47,91.47762161790786,True,8,8,8,8,0,0,16,1.0
manhattan,789,AAC,64,16,64,298.65,87.1758537622219,True,8,8,8,8,0,0,16,1.0
manhattan,789,Random-Subset,64,16,64,377.55,83.78785731768585,True,8,8,8,8,0,0,16,1.0
manhattan,789,FPS-Subset,64,16,64,222.73,90.43588785688829,True,8,8,8,8,0,0,16,1.0
manhattan,789,Greedy-Maximize,64,16,64,198.47,91.47762161790786,True,8,8,8,8,0,0,16,1.0
manhattan,1024,AAC,64,16,64,288.87,87.59581073595527,True,8,8,8,8,0,0,16,1.0
manhattan,1024,Random-Subset,64,16,64,296.39,87.27289903427072,True,8,8,8,8,0,0,16,1.0
manhattan,1024,FPS-Subset,64,16,64,222.73,90.43588785688829,True,8,8,8,8,0,0,16,1.0
manhattan,1024,Greedy-Maximize,64,16,64,198.47,91.47762161790786,True,8,8,8,8,0,0,16,1.0
