graph,seed,epochs,K0,m,reduction_pct,admissibility_violations,all_optimal,mean_exp
modena,42,1,64,16,85.44770271100539,0,True,2321.17
modena,42,5,64,16,86.62753737491019,0,True,2132.98
modena,42,10,64,16,88.71455135688197,0,True,1800.09
modena,42,50,64,16,86.92395367178791,0,True,2085.7
modena,42,200,64,16,85.19561093229446,0,True,2361.38
modena,123,1,64,16,85.09128844540686,0,True,2378.02
modena,123,5,64,16,88.79404709809198,0,True,1787.41
modena,123,10,64,16,89.47552872818099,0,True,1678.71
modena,123,50,64,16,87.81150982976125,0,True,1944.13
modena,123,200,64,16,85.49779505897605,0,True,2313.18
modena,456,1,64,16,87.86423531742498,0,True,1935.72
modena,456,5,64,16,84.18749459265956,0,True,2522.18
modena,456,10,64,16,86.46961168712784,0,True,2158.17
modena,456,50,64,16,79.96763745929604,0,True,3195.27
modena,456,200,64,16,87.840160897374,0,True,1939.56
modena,789,1,64,16,88.9016296626948,0,True,1770.25
modena,789,5,64,16,83.66381326274848,0,True,2605.71
modena,789,10,64,16,87.55596989192841,0,True,1984.89
modena,789,50,64,16,86.4457253484835,0,True,2161.98
modena,789,200,64,16,89.21434634814871,0,True,1720.37
modena,1024,1,64,16,88.4869101610353,0,True,1836.4
modena,1024,5,64,16,80.91581852401235,0,True,3044.03
modena,1024,10,64,16,87.64769092457058,0,True,1970.26
modena,1024,50,64,16,86.13213094979857,0,True,2212.0
modena,1024,200,64,16,83.16282708923961,0,True,2685.62
