graph,seed,method,K0,m,compression_ratio,bytes_per_vertex,reduction_pct,mean_exp,nominal_fwd,nominal_bwd,unique_fwd,unique_bwd,duplicates_fwd,duplicates_bwd,effective_unique_total,effective_unique_ratio
modena,42,ALT-Full,64,128,1.0,512,95.46103141335654,723.99,64,64,64,64,0,0,128,1.0
modena,42,AAC,64,4,0.0625,16,51.2000847620206,7783.85,2,2,2,2,0,0,4,1.0
modena,42,ALT,64,4,0.0625,16,71.82164365595146,4494.6,2,2,2,2,0,0,4,1.0
modena,42,AAC,64,8,0.125,32,80.2236789475466,3154.43,4,4,4,4,0,0,8,1.0
modena,42,ALT,64,8,0.125,32,83.37792952464305,2651.31,4,4,4,4,0,0,8,1.0
modena,42,AAC,64,16,0.25,64,86.04122493658521,2226.5,8,8,8,8,0,0,16,1.0
modena,42,ALT,64,16,0.25,64,91.19804094406835,1403.96,8,8,8,8,0,0,16,1.0
modena,42,AAC,64,32,0.5,128,90.84074896523879,1460.95,16,16,16,16,0,0,32,1.0
modena,42,ALT,64,32,0.5,128,92.84663716714293,1141.0,16,16,16,16,0,0,32,1.0
modena,42,AAC,64,64,1.0,256,94.57830267815385,864.79,32,32,32,32,0,0,64,1.0
modena,42,ALT,64,64,1.0,256,94.36646032046563,898.58,32,32,32,32,0,0,64,1.0
modena,123,ALT-Full,64,128,1.0,512,95.46103141335654,723.99,64,64,64,64,0,0,128,1.0
modena,123,AAC,64,4,0.0625,16,63.547441027074946,5814.38,2,2,2,2,0,0,4,1.0
modena,123,ALT,64,4,0.0625,16,71.82164365595146,4494.6,2,2,2,2,0,0,4,1.0
modena,123,AAC,64,8,0.125,32,71.23959439617718,4587.44,4,4,4,4,0,0,8,1.0
modena,123,ALT,64,8,0.125,32,83.37792952464305,2651.31,4,4,4,4,0,0,8,1.0
modena,123,AAC,64,16,0.25,64,85.99464344153866,2233.93,8,8,8,8,0,0,16,1.0
modena,123,ALT,64,16,0.25,64,91.19804094406835,1403.96,8,8,8,8,0,0,16,1.0
modena,123,AAC,64,32,0.5,128,92.01418886131755,1273.78,16,16,16,16,0,0,32,1.0
modena,123,ALT,64,32,0.5,128,92.84663716714293,1141.0,16,16,16,16,0,0,32,1.0
modena,123,AAC,64,64,1.0,256,94.44539181745571,885.99,32,32,32,32,0,0,64,1.0
modena,123,ALT,64,64,1.0,256,94.36646032046563,898.58,32,32,32,32,0,0,64,1.0
modena,456,ALT-Full,64,128,1.0,512,95.46103141335654,723.99,64,64,64,64,0,0,128,1.0
modena,456,AAC,64,4,0.0625,16,71.56735759416296,4535.16,2,2,2,2,0,0,4,1.0
modena,456,ALT,64,4,0.0625,16,71.82164365595146,4494.6,2,2,2,2,0,0,4,1.0
modena,456,AAC,64,8,0.125,32,81.81428340357128,2900.72,4,4,4,4,0,0,8,1.0
modena,456,ALT,64,8,0.125,32,83.37792952464305,2651.31,4,4,4,4,0,0,8,1.0
modena,456,AAC,64,16,0.25,64,82.01484087686059,2868.73,8,8,8,8,0,0,16,1.0
