graph,method,budget_bpv,seed,config,memory_bytes_per_vertex,preprocess_time_s,query_time_s,mean_expansions,median_expansions,mean_reduction_vs_dijkstra
modena,ALT,32,42,K=4,32,1.0276185479015112,0.0,2651.31,2058.0,0.8337792952464306
modena,CDH,32,42,"P=64,r=3",27,1.1442448009038344,2.401434057042934,8726.73,6370.5,0.45288811538668916
modena,CDH+sub,32,42,"P=64,r=3",27,0.0,3.2068935739807785,8726.73,6370.5,0.45288811538668916
modena,CDH+sub+BPMX,32,42,"P=64,r=3",27,0.0,8.25098353694193,9007.33,6251.0,0.43529623448485133
modena,ALT,32,123,K=4,32,0.524925644043833,0.0,2651.31,2058.0,0.8337792952464306
modena,CDH,32,123,"P=64,r=3",27,1.1530491641024128,2.395947749959305,8726.73,6370.5,0.45288811538668916
modena,CDH+sub,32,123,"P=64,r=3",27,0.0,3.2068495060084388,8726.73,6370.5,0.45288811538668916
modena,CDH+sub+BPMX,32,123,"P=64,r=3",27,0.0,8.306970713078044,9007.33,6251.0,0.43529623448485133
modena,ALT,32,456,K=4,32,0.6053532039513811,0.0,2651.31,2058.0,0.8337792952464306
modena,CDH,32,456,"P=64,r=3",27,0.8930319240316749,2.3451259130379185,8726.73,6370.5,0.45288811538668916
modena,CDH+sub,32,456,"P=64,r=3",27,0.0,3.1894850850803778,8726.73,6370.5,0.45288811538668916
modena,CDH+sub+BPMX,32,456,"P=64,r=3",27,0.0,8.317482471000403,9007.33,6251.0,0.43529623448485133
modena,ALT,32,789,K=4,32,0.5703937590587884,0.0,2651.31,2058.0,0.8337792952464306
modena,CDH,32,789,"P=64,r=3",27,1.1457837920170277,2.630524759995751,8726.73,6370.5,0.45288811538668916
modena,CDH+sub,32,789,"P=64,r=3",27,0.0,3.195264708949253,8726.73,6370.5,0.45288811538668916
modena,CDH+sub+BPMX,32,789,"P=64,r=3",27,0.0,8.264391558943316,9007.33,6251.0,0.43529623448485133
modena,ALT,32,1024,K=4,32,0.5582677639322355,0.0,2651.31,2058.0,0.8337792952464306
modena,CDH,32,1024,"P=64,r=3",27,1.068243466084823,2.4006165250902995,8726.73,6370.5,0.45288811538668916
modena,CDH+sub,32,1024,"P=64,r=3",27,0.0,3.2405347019666806,8726.73,6370.5,0.45288811538668916
modena,CDH+sub+BPMX,32,1024,"P=64,r=3",27,0.0,8.30899133393541,9007.33,6251.0,0.43529623448485133
modena,ALT,64,42,K=8,64,0.6379871490644291,0.0,1403.96,933.5,0.9119804094406835
modena,CDH,64,42,"P=64,r=7",63,1.3288350289221853,3.018844824982807,7523.23,5056.5,0.5283401063537662
modena,CDH+sub,64,42,"P=64,r=7",63,0.0,5.745046121999621,7523.23,5056.5,0.5283401063537662
modena,CDH+sub+BPMX,64,42,"P=64,r=7",63,0.0,16.27984650200233,7865.33,5031.0,0.5068925566156381
modena,ALT,64,123,K=8,64,0.6241004340117797,0.0,1403.96,933.5,0.9119804094406835
modena,CDH,64,123,"P=64,r=7",63,1.2293012869777158,2.8167721190257,7523.23,5056.5,0.5283401063537662
modena,CDH+sub,64,123,"P=64,r=7",63,0.0,5.818555317935534,7523.23,5056.5,0.5283401063537662
modena,CDH+sub+BPMX,64,123,"P=64,r=7",63,0.0,16.26018219802063,7865.33,5031.0,0.5068925566156381
modena,ALT,64,456,K=8,64,0.5572126789484173,0.0,1403.96,933.5,0.9119804094406835
modena,CDH,64,456,"P=64,r=7",63,0.999439105973579,2.9130116349551827,7523.23,5056.5,0.5283401063537662
modena,CDH+sub,64,456,"P=64,r=7",63,0.0,5.800282932934351,7523.23,5056.5,0.5283401063537662
modena,CDH+sub+BPMX,64,456,"P=64,r=7",63,0.0,16.174011279945262,7865.33,5031.0,0.5068925566156381
modena,ALT,64,789,K=8,64,0.5954064689576626,0.0,1403.96,933.5,0.9119804094406835
modena,CDH,64,789,"P=64,r=7",63,1.0555343499872833,2.848056563991122,7523.23,5056.5,0.5283401063537662
modena,CDH+sub,64,789,"P=64,r=7",63,0.0,5.88852986402344,7523.23,5056.5,0.5283401063537662
modena,CDH+sub+BPMX,64,789,"P=64,r=7",63,0.0,16.18707506393548,7865.33,5031.0,0.5068925566156381
modena,ALT,64,1024,K=8,64,0.7635757050011307,0.0,1403.96,933.5,0.9119804094406835
modena,CDH,64,1024,"P=64,r=7",63,1.1260980060324073,2.8948402020614594,7523.23,5056.5,0.5283401063537662
modena,CDH+sub,64,1024,"P=64,r=7",63,0.0,5.7999815319199115,7523.23,5056.5,0.5283401063537662
modena,CDH+sub+BPMX,64,1024,"P=64,r=7",63,0.0,16.232591763022356,7865.33,5031.0,0.5068925566156381
modena,ALT,128,42,K=16,128,0.7850162630202249,0.0,1141.0,774.0,0.9284663716714293
modena,CDH,128,42,"P=64,r=14",126,1.1868311810540035,3.556956259999424,5941.26,3754.5,0.6275198206455705
modena,CDH+sub,128,42,"P=64,r=14",126,0.0,13.058833753922954,5941.26,3754.5,0.6275198206455705
modena,CDH+sub+BPMX,128,42,"P=64,r=14",126,0.0,38.28204405598808,6191.95,4120.0,0.6118031113680165
modena,ALT,128,123,K=16,128,0.6711813180008903,0.0,1141.0,774.0,0.9284663716714293
modena,CDH,128,123,"P=64,r=14",126,1.4154545590281487,3.552926189964637,5941.26,3754.5,0.6275198206455705
