graph_type,seed,lambda_cov,K0,m,dij_mean_exp,alt_mean_exp,hit_mean_exp,alt_reduction_pct,hit_reduction_pct,wilcoxon_vs_baseline_stat,wilcoxon_vs_baseline_p,unique_fwd,unique_bwd,effective_unique_ratio,prep_time_s
powerlaw_ba,42,0.0,32,8,4763.6,480.9,512.9,89.90,89.23,0.0,1.000000e+00,8,0,1.0,145.21
powerlaw_ba,42,0.001,32,8,4763.6,480.9,517.6,89.90,89.14,2228.0,8.469377e-01,8,0,1.0,162.40
powerlaw_ba,42,0.01,32,8,4763.6,480.9,517.6,89.90,89.14,2228.0,8.469377e-01,8,0,1.0,156.47
powerlaw_ba,42,0.1,32,8,4763.6,480.9,517.6,89.90,89.14,2228.0,8.469377e-01,8,0,1.0,164.90
powerlaw_ba,123,0.0,32,8,4763.6,480.9,492.0,89.90,89.67,0.0,1.000000e+00,8,0,1.0,125.82
powerlaw_ba,123,0.001,32,8,4763.6,480.9,545.7,89.90,88.54,1438.0,1.857669e-04,8,0,1.0,155.92
powerlaw_ba,123,0.01,32,8,4763.6,480.9,545.7,89.90,88.54,1438.0,1.857669e-04,8,0,1.0,142.44
powerlaw_ba,123,0.1,32,8,4763.6,480.9,545.7,89.90,88.54,1438.0,1.857669e-04,8,0,1.0,134.33
powerlaw_ba,456,0.0,32,8,4763.6,480.9,561.8,89.90,88.21,0.0,1.000000e+00,8,0,1.0,89.32
powerlaw_ba,456,0.001,32,8,4763.6,480.9,590.4,89.90,87.61,1432.0,2.535021e-03,8,0,1.0,140.89
powerlaw_ba,456,0.01,32,8,4763.6,480.9,590.4,89.90,87.61,1432.0,2.535021e-03,8,0,1.0,144.35
powerlaw_ba,456,0.1,32,8,4763.6,480.9,582.8,89.90,87.76,1994.5,1.692665e-01,8,0,1.0,144.68
powerlaw_ba,789,0.0,32,8,4763.6,480.9,592.8,89.90,87.56,0.0,1.000000e+00,8,0,1.0,138.87
powerlaw_ba,789,0.001,32,8,4763.6,480.9,550.2,89.90,88.45,1941.5,6.258029e-02,8,0,1.0,146.68
powerlaw_ba,789,0.01,32,8,4763.6,480.9,550.2,89.90,88.45,1941.5,6.258029e-02,8,0,1.0,163.75
powerlaw_ba,789,0.1,32,8,4763.6,480.9,550.2,89.90,88.45,1941.5,6.258029e-02,8,0,1.0,155.03
powerlaw_ba,1024,0.0,32,8,4763.6,480.9,566.3,89.90,88.11,0.0,1.000000e+00,8,0,1.0,104.20
powerlaw_ba,1024,0.001,32,8,4763.6,480.9,566.3,89.90,88.11,0.0,nan,8,0,1.0,174.51
powerlaw_ba,1024,0.01,32,8,4763.6,480.9,566.3,89.90,88.11,0.0,nan,8,0,1.0,156.38
powerlaw_ba,1024,0.1,32,8,4763.6,480.9,566.3,89.90,88.11,0.0,nan,8,0,1.0,146.89
