graph_type,seed,lambda_cov,K0,m,dij_mean_exp,alt_mean_exp,hit_mean_exp,alt_reduction_pct,hit_reduction_pct,wilcoxon_vs_baseline_stat,wilcoxon_vs_baseline_p,unique_fwd,unique_bwd,effective_unique_ratio,prep_time_s
community_sbm,42,0.0,32,8,5330.0,535.7,573.4,89.95,89.24,0.0,1.000000e+00,8,0,1.0,111.30
community_sbm,42,0.001,32,8,5330.0,535.7,583.4,89.95,89.05,1926.5,4.079160e-01,8,0,1.0,168.53
community_sbm,42,0.01,32,8,5330.0,535.7,583.4,89.95,89.05,1926.5,4.079160e-01,8,0,1.0,179.09
community_sbm,42,0.1,32,8,5330.0,535.7,583.4,89.95,89.05,1926.5,4.079160e-01,8,0,1.0,200.00
community_sbm,123,0.0,32,8,5330.0,535.7,568.8,89.95,89.33,0.0,1.000000e+00,8,0,1.0,143.78
community_sbm,123,0.001,32,8,5330.0,535.7,575.3,89.95,89.21,2328.0,8.614535e-01,8,0,1.0,182.62
community_sbm,123,0.01,32,8,5330.0,535.7,575.3,89.95,89.21,2328.0,8.614535e-01,8,0,1.0,178.66
community_sbm,123,0.1,32,8,5330.0,535.7,575.3,89.95,89.21,2328.0,8.614535e-01,8,0,1.0,157.10
community_sbm,456,0.0,32,8,5330.0,535.7,631.5,89.95,88.15,0.0,1.000000e+00,8,0,1.0,124.25
community_sbm,456,0.001,32,8,5330.0,535.7,631.5,89.95,88.15,0.0,nan,8,0,1.0,148.17
community_sbm,456,0.01,32,8,5330.0,535.7,631.5,89.95,88.15,0.0,nan,8,0,1.0,154.93
community_sbm,456,0.1,32,8,5330.0,535.7,631.5,89.95,88.15,0.0,nan,8,0,1.0,170.76
community_sbm,789,0.0,32,8,5330.0,535.7,638.0,89.95,88.03,0.0,1.000000e+00,8,0,1.0,153.37
community_sbm,789,0.001,32,8,5330.0,535.7,604.0,89.95,88.67,1559.5,7.476765e-03,8,0,1.0,165.55
community_sbm,789,0.01,32,8,5330.0,535.7,631.8,89.95,88.15,2211.0,4.471722e-01,8,0,1.0,170.14
community_sbm,789,0.1,32,8,5330.0,535.7,631.8,89.95,88.15,2211.0,4.471722e-01,8,0,1.0,192.46
community_sbm,1024,0.0,32,8,5330.0,535.7,602.5,89.95,88.70,0.0,1.000000e+00,8,0,1.0,135.65
community_sbm,1024,0.001,32,8,5330.0,535.7,596.9,89.95,88.80,2322.5,8.459264e-01,8,0,1.0,170.84
community_sbm,1024,0.01,32,8,5330.0,535.7,596.9,89.95,88.80,2322.5,8.459264e-01,8,0,1.0,189.65
community_sbm,1024,0.1,32,8,5330.0,535.7,602.5,89.95,88.70,0.0,nan,8,0,1.0,152.48
powerlaw_ba,42,0.0,32,8,4763.6,480.9,512.9,89.90,89.23,0.0,1.000000e+00,8,0,1.0,74.54
powerlaw_ba,42,0.001,32,8,4763.6,480.9,517.6,89.90,89.14,2228.0,8.469377e-01,8,0,1.0,111.14
powerlaw_ba,42,0.01,32,8,4763.6,480.9,517.6,89.90,89.14,2228.0,8.469377e-01,8,0,1.0,81.39
powerlaw_ba,42,0.1,32,8,4763.6,480.9,517.6,89.90,89.14,2228.0,8.469377e-01,8,0,1.0,108.20
powerlaw_ba,123,0.0,32,8,4763.6,480.9,492.0,89.90,89.67,0.0,1.000000e+00,8,0,1.0,47.55
powerlaw_ba,123,0.001,32,8,4763.6,480.9,545.7,89.90,88.54,1438.0,1.857669e-04,8,0,1.0,76.03
powerlaw_ba,123,0.01,32,8,4763.6,480.9,545.7,89.90,88.54,1438.0,1.857669e-04,8,0,1.0,77.86
powerlaw_ba,123,0.1,32,8,4763.6,480.9,545.7,89.90,88.54,1438.0,1.857669e-04,8,0,1.0,72.56
powerlaw_ba,456,0.0,32,8,4763.6,480.9,561.8,89.90,88.21,0.0,1.000000e+00,8,0,1.0,77.02
powerlaw_ba,456,0.001,32,8,4763.6,480.9,590.4,89.90,87.61,1432.0,2.535021e-03,8,0,1.0,72.04
powerlaw_ba,456,0.01,32,8,4763.6,480.9,590.4,89.90,87.61,1432.0,2.535021e-03,8,0,1.0,101.31
powerlaw_ba,456,0.1,32,8,4763.6,480.9,582.8,89.90,87.76,1994.5,1.692665e-01,8,0,1.0,67.75
powerlaw_ba,789,0.0,32,8,4763.6,480.9,592.8,89.90,87.56,0.0,1.000000e+00,8,0,1.0,78.50
powerlaw_ba,789,0.001,32,8,4763.6,480.9,550.2,89.90,88.45,1941.5,6.258029e-02,8,0,1.0,68.89
powerlaw_ba,789,0.01,32,8,4763.6,480.9,550.2,89.90,88.45,1941.5,6.258029e-02,8,0,1.0,106.90
powerlaw_ba,789,0.1,32,8,4763.6,480.9,550.2,89.90,88.45,1941.5,6.258029e-02,8,0,1.0,71.10
powerlaw_ba,1024,0.0,32,8,4763.6,480.9,566.3,89.90,88.11,0.0,1.000000e+00,8,0,1.0,70.09
powerlaw_ba,1024,0.001,32,8,4763.6,480.9,566.3,89.90,88.11,0.0,nan,8,0,1.0,85.43
powerlaw_ba,1024,0.01,32,8,4763.6,480.9,566.3,89.90,88.11,0.0,nan,8,0,1.0,84.02
powerlaw_ba,1024,0.1,32,8,4763.6,480.9,566.3,89.90,88.11,0.0,nan,8,0,1.0,87.04
