query_idx,source,target,hit_expansions,dijkstra_expansions,hit_cost,dijkstra_cost,optimal
0,121958,146867,3285,27255,678753.0,678753.0,True
1,131932,365838,7294,291315,2959860.0,2959860.0,True
2,259178,119879,19976,140329,1149066.0,1149066.0,True
3,110268,207892,19758,111984,696420.0,696420.0,True
4,54886,137337,54688,210557,1699869.0,1699869.0,True
5,430410,87498,64328,291396,2850194.0,2850194.0,True
6,374871,388468,14194,279952,3658442.0,3658442.0,True
7,175203,191335,2747,41346,1408993.0,1408993.0,True
8,278167,41090,23170,200070,3216343.0,3216343.0,True
9,329365,64820,6984,178675,1957403.0,1957403.0,True
10,262913,321879,42268,414915,5491207.0,5491207.0,True
11,194027,327069,47508,396590,4046090.0,4046090.0,True
12,252709,199041,1990,336582,4154327.0,4154327.0,True
13,267455,103355,2059,85582,725162.0,725162.0,True
14,235796,214176,11794,159073,2445847.0,2445847.0,True
15,184779,347449,4639,72819,1123736.0,1123736.0,True
16,421909,258795,1992,15139,386051.0,386051.0,True
17,392752,156730,35031,195616,3953341.0,3953341.0,True
18,346622,384681,5337,220452,1932037.0,1932037.0,True
19,149503,130523,12271,272039,2257279.0,2257279.0,True
20,2747,123855,10090,102387,591519.0,591519.0,True
21,65725,129981,2405,217682,1850926.0,1850926.0,True
22,84654,428989,99847,333600,4133857.0,4133857.0,True
23,381490,67435,8698,68975,2015079.0,2015079.0,True
24,319030,328947,93496,398290,5268604.0,5268604.0,True
25,31551,378360,46382,363627,3679689.0,3679689.0,True
26,273538,331236,21850,182028,2374823.0,2374823.0,True
27,3890,41606,27342,404802,4402063.0,4402063.0,True
28,256840,349457,25553,241530,2390699.0,2390699.0,True
29,141699,270936,47204,209863,1725940.0,1725940.0,True
30,239931,239629,3791,99613,3135752.0,3135752.0,True
31,205041,174073,7217,220231,2558209.0,2558209.0,True
32,207624,417113,22592,108274,826002.0,826002.0,True
33,68148,252801,13708,350248,2901347.0,2901347.0,True
34,124243,251995,59587,258215,2112987.0,2112987.0,True
35,382318,154555,10185,292491,3619541.0,3619541.0,True
36,386502,48555,61802,418499,4904870.0,4904870.0,True
37,256508,279303,125062,375441,4265490.0,4265490.0,True
38,372654,106530,1268,138693,1966500.0,1966500.0,True
39,80077,298064,25964,338293,3944381.0,3944381.0,True
40,200551,281601,30756,241012,2900066.0,2900066.0,True
41,208261,240181,18420,425577,4572977.0,4572977.0,True
42,341097,315139,16271,431228,4351361.0,4351361.0,True
43,171829,271836,69240,275942,2493593.0,2493593.0,True
44,202283,196769,38403,380482,4745156.0,4745156.0,True
45,37065,223165,4850,42950,257790.0,257790.0,True
46,99299,425822,6467,206897,1448832.0,1448832.0,True
47,11534,40397,81182,411935,4902744.0,4902744.0,True
48,257750,353531,32770,291338,2997620.0,2997620.0,True
49,263160,55591,8355,47598,697701.0,697701.0,True
50,220884,23247,1198,27211,174873.0,174873.0,True
51,24300,82798,17533,339713,3142947.0,3142947.0,True
52,9268,348951,21424,198492,1402188.0,1402188.0,True
53,274329,194776,13713,221012,3316436.0,3316436.0,True
54,217851,432315,22643,280818,2382734.0,2382734.0,True
55,401787,236584,78345,388774,3640128.0,3640128.0,True
56,38044,313358,37039,431447,5304292.0,5304292.0,True
57,376896,48984,42510,422082,6756045.0,6756045.0,True
58,302918,264712,58357,351436,4824857.0,4824857.0,True
59,120151,133767,3768,180141,1264177.0,1264177.0,True
60,124375,179262,27699,315175,2779977.0,2779977.0,True
61,136330,301648,120441,407433,5002225.0,5002225.0,True
62,164231,13986,26893,156240,1328843.0,1328843.0,True
63,61858,129312,627,188467,1548444.0,1548444.0,True
64,12666,300804,44483,376826,3972265.0,3972265.0,True
65,134633,288998,6023,235606,1974970.0,1974970.0,True
66,326649,104488,40439,253903,3908891.0,3908891.0,True
67,183323,284806,30563,278364,2835800.0,2835800.0,True
68,270536,30535,24888,116564,1003513.0,1003513.0,True
69,375713,314400,21705,294128,3850897.0,3850897.0,True
70,351279,389622,96611,357499,5629831.0,5629831.0,True
71,297366,77373,31593,223921,4010415.0,4010415.0,True
72,123684,273109,23986,183600,1262677.0,1262677.0,True
73,24538,370210,17261,226743,1659862.0,1659862.0,True
74,201664,375396,8819,244995,3317359.0,3317359.0,True
75,139182,158338,122,20168,371808.0,371808.0,True
76,184064,214020,8164,47465,1247130.0,1247130.0,True
77,98806,400126,20668,179090,1176535.0,1176535.0,True
78,373133,90982,2026,37570,808200.0,808200.0,True
79,121626,119176,125,3550,59839.0,59839.0,True
80,393422,218126,31512,247678,4418875.0,4418875.0,True
81,218969,122409,17967,90331,521101.0,521101.0,True
82,23419,253618,17516,190254,1243405.0,1243405.0,True
83,245310,50015,47352,214355,4751561.0,4751561.0,True
84,248550,122096,19212,223185,4357014.0,4357014.0,True
85,107059,185340,8246,164086,1062696.0,1062696.0,True
86,110687,350083,10441,304088,2780784.0,2780784.0,True
87,411357,211428,9583,115206,2374717.0,2374717.0,True
88,105878,202982,11670,259625,2106936.0,2106936.0,True
89,198286,249002,8255,320831,3531059.0,3531059.0,True
90,250396,164899,99253,228407,2792069.0,2792069.0,True
91,324767,337594,2124,10265,740806.0,740806.0,True
92,355570,379989,2258,276321,4044364.0,4044364.0,True
93,415515,43585,42452,406296,4824774.0,4824774.0,True
94,371369,64044,31826,220337,2330127.0,2330127.0,True
95,109556,2693,7331,72206,352620.0,352620.0,True
96,357403,243307,30052,369879,5812365.0,5812365.0,True
97,200235,25939,28654,169004,2643190.0,2643190.0,True
98,152906,18047,6533,247100,2076386.0,2076386.0,True
99,288249,75766,12877,182922,2440280.0,2440280.0,True
