query_idx,source,target,hit_expansions,dijkstra_expansions,hit_cost,dijkstra_cost,optimal
0,121958,671155,5797,428013,3106219.0,3106219.0,True
1,131932,259178,280512,1055254,8224392.0,8224392.0,True
2,110268,732180,11029,81971,482609.0,482609.0,True
3,137337,999890,253074,663583,2954530.0,2954530.0,True
4,912756,175203,77844,289975,5421445.0,5421445.0,True
5,278167,41090,8796,97478,1365255.0,1365255.0,True
6,329365,787201,62157,414727,1684576.0,1684576.0,True
7,327069,791743,58674,594025,2344606.0,2344606.0,True
8,103355,184779,28173,209588,1692681.0,1692681.0,True
9,989436,486232,20437,279639,1540670.0,1540670.0,True
10,917040,156730,7772,326952,5446706.0,5446706.0,True
11,654811,527035,12865,366888,5138650.0,5138650.0,True
12,648143,65725,250348,758410,7199834.0,7199834.0,True
13,84654,953277,59110,457892,3318485.0,3318485.0,True
14,591723,319030,9132,295262,2456227.0,2456227.0,True
15,555839,273538,281865,969149,6780434.0,6780434.0,True
16,331236,528178,70913,413257,1850972.0,1850972.0,True
17,565894,489492,62477,746032,5003846.0,5003846.0,True
18,473254,349457,55784,560404,3889857.0,3889857.0,True
19,665987,698361,4176,39174,275378.0,275378.0,True
20,68148,648531,244994,1036308,6960499.0,6960499.0,True
21,906606,678843,101859,572844,6767855.0,6767855.0,True
22,572843,256508,205971,1055824,10345876.0,10345876.0,True
23,803591,896942,185222,609906,2692844.0,2692844.0,True
24,106530,604365,30463,101355,480402.0,480402.0,True
25,460337,805889,5389,428468,2140699.0,2140699.0,True
26,208261,271836,8850,486538,2328644.0,2328644.0,True
27,989913,202283,118975,589839,2608123.0,2608123.0,True
28,196769,561353,134733,831381,4443188.0,4443188.0,True
29,1046797,950110,30138,371966,2484629.0,2484629.0,True
30,487879,564685,85942,801640,3751170.0,3751170.0,True
31,782038,1007293,181091,521492,2353540.0,2353540.0,True
32,579879,23247,11386,852502,6030056.0,6030056.0,True
33,607086,533556,32364,676820,4520927.0,4520927.0,True
34,742139,432315,10399,227811,1604269.0,1604269.0,True
35,926075,516588,1972,14356,154454.0,154454.0,True
36,978732,48984,205767,737196,4362847.0,4362847.0,True
37,302918,264712,57692,717147,3676888.0,3676888.0,True
38,133767,648663,102157,1036377,7606839.0,7606839.0,True
39,136330,480754,21495,919192,5019059.0,5019059.0,True
40,13986,586146,148632,982166,5155183.0,5155183.0,True
41,12666,134633,113707,711905,3356787.0,3356787.0,True
42,288998,850937,98085,673720,5354281.0,5354281.0,True
43,628776,996107,39373,592005,4134719.0,4134719.0,True
44,838688,351279,14269,69938,590877.0,590877.0,True
45,913910,489570,6692,235261,4957261.0,4957261.0,True
46,24538,894498,101166,767470,4177337.0,4177337.0,True
47,201664,491234,14031,130285,1089983.0,1089983.0,True
48,139182,184064,28783,147869,1269817.0,1269817.0,True
49,214020,1039577,19873,289670,1994812.0,1994812.0,True
50,623094,897421,25154,227312,2257188.0,2257188.0,True
51,615270,917710,185698,1041870,10103467.0,10103467.0,True
52,218969,122409,161059,896126,4922780.0,4922780.0,True
53,253618,769598,14846,463649,6572275.0,6572275.0,True
54,772838,874371,20058,407215,1679187.0,1679187.0,True
55,735716,973548,131428,858270,5250970.0,5250970.0,True
56,773290,999238,83782,426103,1648194.0,1648194.0,True
57,861882,379989,23511,382640,1574718.0,1574718.0,True
58,415515,43585,16855,439748,1664937.0,1664937.0,True
59,64044,960061,9679,102104,1152264.0,1152264.0,True
60,442296,109556,72170,452195,2354232.0,2354232.0,True
61,767595,200235,35116,569304,2207290.0,2207290.0,True
62,25939,542335,6984,189945,1426730.0,1426730.0,True
63,75766,408923,30868,608462,3809385.0,3809385.0,True
64,568550,387261,41405,253697,2191467.0,2191467.0,True
65,810208,685440,121345,270013,1659482.0,1659482.0,True
66,984346,137848,135683,753649,3897727.0,3897727.0,True
67,617075,127948,144597,973563,8518553.0,8518553.0,True
68,402690,499046,514,22786,481045.0,481045.0,True
69,451269,21959,34581,755950,3844469.0,3844469.0,True
70,228576,1015602,65430,435591,2640170.0,2640170.0,True
71,914091,165838,27933,324472,5440026.0,5440026.0,True
72,61087,1013343,15916,177723,1426400.0,1426400.0,True
73,118451,439792,13839,241894,1947842.0,1947842.0,True
74,39353,193075,20568,194151,3060423.0,3060423.0,True
75,65318,765313,31702,311794,1940228.0,1940228.0,True
76,416880,591460,39289,870629,3716378.0,3716378.0,True
77,740976,781239,75364,658945,3253573.0,3253573.0,True
