query_idx,source,target,hit_expansions,dijkstra_expansions,hit_cost,dijkstra_cost,optimal
0,121958,146867,43771,144772,543151.0,543151.0,True
1,131932,259178,73449,259938,893194.0,893194.0,True
2,119879,110268,1019,76138,374163.0,374163.0,True
3,207892,54886,1531,68062,254214.0,254214.0,True
4,137337,87498,22100,247332,793785.0,793785.0,True
5,175203,191335,72942,263960,1174219.0,1174219.0,True
6,41090,64820,1379,160171,414851.0,414851.0,True
7,262913,194027,19360,187230,895604.0,895604.0,True
8,252709,199041,1890,35584,253960.0,253960.0,True
9,103355,235796,7423,224515,636516.0,636516.0,True
10,214176,184779,298,3410,44190.0,44190.0,True
11,258795,156730,38185,183469,849262.0,849262.0,True
12,149503,130523,7827,68724,318884.0,318884.0,True
13,2747,123855,35436,212100,881317.0,881317.0,True
14,65725,129981,1623,55076,471140.0,471140.0,True
15,84654,67435,11299,28229,489151.0,489151.0,True
16,31551,3890,18803,216468,676902.0,676902.0,True
17,41606,256840,2283,213225,539876.0,539876.0,True
18,141699,239931,17460,187839,463449.0,463449.0,True
19,239629,205041,26424,196364,712423.0,712423.0,True
20,174073,207624,8141,47915,247165.0,247165.0,True
21,68148,252801,24652,200022,688818.0,688818.0,True
22,124243,251995,20421,189515,657682.0,657682.0,True
23,154555,48555,16585,107522,519504.0,519504.0,True
24,256508,106530,31762,197003,649853.0,649853.0,True
25,80077,200551,36561,155488,792671.0,792671.0,True
26,208261,240181,23220,156741,477010.0,477010.0,True
27,171829,202283,4649,47208,290640.0,290640.0,True
28,196769,37065,4804,110966,318721.0,318721.0,True
29,223165,99299,5840,122548,396165.0,396165.0,True
30,11534,40397,5433,70008,280609.0,280609.0,True
31,257750,263160,1319,8252,236994.0,236994.0,True
32,55591,220884,695,88238,259125.0,259125.0,True
33,23247,24300,1710,12886,105505.0,105505.0,True
34,82798,9268,25320,193594,947456.0,947456.0,True
35,194776,217851,708,63599,229408.0,229408.0,True
36,236584,38044,17139,160578,819825.0,819825.0,True
37,48984,120151,2198,56270,224962.0,224962.0,True
38,133767,124375,18680,222379,620781.0,620781.0,True
39,179262,136330,2271,51056,231023.0,231023.0,True
40,164231,13986,6437,91870,366434.0,366434.0,True
41,61858,129312,668,26573,238105.0,238105.0,True
42,12666,134633,3528,36059,212507.0,212507.0,True
43,104488,183323,17556,195708,515094.0,515094.0,True
44,30535,77373,17015,245192,772226.0,772226.0,True
45,123684,24538,1294,97918,376544.0,376544.0,True
46,201664,139182,374,17450,123984.0,123984.0,True
47,158338,184064,3004,15330,130865.0,130865.0,True
48,214020,98806,26624,212577,666614.0,666614.0,True
49,90982,121626,3617,36494,417516.0,417516.0,True
50,119176,218126,13131,161116,899413.0,899413.0,True
51,218969,122409,8070,63227,284834.0,284834.0,True
52,23419,253618,4032,66110,243168.0,243168.0,True
53,245310,50015,18077,160417,562801.0,562801.0,True
54,248550,122096,16963,220000,626434.0,626434.0,True
55,107059,185340,42801,248624,793802.0,793802.0,True
56,110687,211428,9953,174123,491343.0,491343.0,True
57,105878,202982,23706,151597,663532.0,663532.0,True
58,198286,249002,5974,56689,215578.0,215578.0,True
59,250396,164899,10779,124002,397173.0,397173.0,True
60,43585,64044,3522,106572,375992.0,375992.0,True
61,109556,2693,30395,235211,705970.0,705970.0,True
62,243307,200235,10610,72289,403133.0,403133.0,True
63,25939,152906,22602,212684,521280.0,521280.0,True
64,18047,75766,13125,246198,671560.0,671560.0,True
65,44262,161152,51589,246527,737182.0,737182.0,True
66,128376,137848,16272,153064,511134.0,511134.0,True
67,92787,127948,1919,42808,248456.0,248456.0,True
68,55016,21959,2270,71325,231566.0,231566.0,True
69,136602,225928,12132,211094,536814.0,536814.0,True
70,228576,13545,5106,38208,266008.0,266008.0,True
71,165838,61087,33742,226464,750781.0,750781.0,True
72,68840,118451,2550,36809,203532.0,203532.0,True
73,39353,193075,5226,184494,519865.0,519865.0,True
74,214283,65318,17766,227242,718328.0,718328.0,True
75,241025,67172,40824,230072,988366.0,988366.0,True
76,216688,256951,15617,220292,602037.0,602037.0,True
77,93264,246458,15574,168874,597697.0,597697.0,True
78,225281,112859,1886,44441,319920.0,319920.0,True
79,257426,177789,6474,149150,496228.0,496228.0,True
80,218164,125657,8306,48555,261602.0,261602.0,True
81,235167,157381,42847,232400,832298.0,832298.0,True
82,194806,70467,7547,161290,390877.0,390877.0,True
83,183734,98506,606,212661,735227.0,735227.0,True
84,109751,168229,16854,211939,608567.0,608567.0,True
85,106081,89045,19239,247695,866216.0,866216.0,True
86,34698,110078,1391,36071,223861.0,223861.0,True
87,22671,86202,8179,257715,764474.0,764474.0,True
88,51663,15708,1637,47834,199034.0,199034.0,True
89,133883,112547,7971,111209,343251.0,343251.0,True
90,34754,226814,2811,49224,243971.0,243971.0,True
91,237714,142483,12447,117197,576185.0,576185.0,True
92,133983,214835,2142,28840,179489.0,179489.0,True
93,84896,71295,2735,23442,233806.0,233806.0,True
94,219686,132874,4638,135851,428876.0,428876.0,True
95,8155,47254,2947,112263,420330.0,420330.0,True
96,85981,30306,32233,190789,908983.0,908983.0,True
97,147718,120975,4542,61038,288364.0,288364.0,True
98,107512,147443,10711,154670,484252.0,484252.0,True
99,133121,162688,3860,76380,274514.0,274514.0,True
