graph,fastmap_dims,query_idx,source,target,fastmap_cost,dijkstra_cost,cost_diff,cost_ratio,is_violation,fastmap_expansions,dijkstra_expansions
NY,8,0,121958,146867,608403.0,543151.0,65252.0,1.1201360211064695,True,4632,144772
NY,8,1,131932,259178,996764.0,893194.0,103570.0,1.1159546526286563,True,12429,259938
NY,8,2,119879,110268,454391.0,374163.0,80228.0,1.2144199185916298,True,679,76138
NY,8,3,207892,54886,344924.0,254214.0,90710.0,1.356825351868898,True,2375,68062
NY,8,4,137337,87498,905212.0,793785.0,111427.0,1.140374282708794,True,4687,247332
NY,8,5,175203,191335,1282065.0,1174219.0,107846.0,1.091844877318456,True,29435,263960
NY,8,6,41090,64820,515128.0,414851.0,100277.0,1.2417181108397954,True,1049,160171
NY,8,7,262913,194027,1095901.0,895604.0,200297.0,1.2236446018552842,True,2767,187230
NY,8,8,252709,199041,267371.0,253960.0,13411.0,1.0528075287446843,True,933,35584
NY,8,9,103355,235796,831166.0,636516.0,194650.0,1.3058053528897937,True,4885,224515
NY,8,10,214176,184779,54491.0,44190.0,10301.0,1.2331070377913556,True,64,3410
NY,8,11,258795,156730,906765.0,849262.0,57503.0,1.0677093759051977,True,1692,183469
NY,8,12,149503,130523,386660.0,318884.0,67776.0,1.2125412375660114,True,11429,68724
NY,8,13,2747,123855,1061665.0,881317.0,180348.0,1.2046346547269597,True,4663,212100
NY,8,14,65725,129981,537121.0,471140.0,65981.0,1.1400454217430063,True,883,55076
NY,8,15,84654,67435,534944.0,489151.0,45793.0,1.0936173083567242,True,885,28229
NY,8,16,31551,3890,844303.0,676902.0,167401.0,1.2473046319851322,True,2107,216468
NY,8,17,41606,256840,699911.0,539876.0,160035.0,1.2964291800339338,True,8297,213225
NY,8,18,141699,239931,618154.0,463449.0,154705.0,1.3338123504420119,True,4093,187839
NY,8,19,239629,205041,822980.0,712423.0,110557.0,1.1551844901133175,True,4371,196364
NY,8,20,174073,207624,304347.0,247165.0,57182.0,1.2313515263083366,True,291,47915
NY,8,21,68148,252801,808527.0,688818.0,119709.0,1.1737890124822523,True,13047,200022
NY,8,22,124243,251995,756890.0,657682.0,99208.0,1.1508449372188991,True,9127,189515
NY,8,23,154555,48555,620614.0,519504.0,101110.0,1.1946279528165327,True,5331,107522
NY,8,24,256508,106530,765806.0,649853.0,115953.0,1.178429583305763,True,4767,197003
NY,8,25,80077,200551,846988.0,792671.0,54317.0,1.068524015638266,True,4390,155488
NY,8,26,208261,240181,504267.0,477010.0,27257.0,1.057141359719922,True,2416,156741
NY,8,27,171829,202283,319122.0,290640.0,28482.0,1.0979975227085053,True,835,47208
NY,8,28,196769,37065,391947.0,318721.0,73226.0,1.2297495301533317,True,4831,110966
NY,8,29,223165,99299,506361.0,396165.0,110196.0,1.2781568285941465,True,2767,122548
NY,8,30,11534,40397,331471.0,280609.0,50862.0,1.181255768703071,True,674,70008
NY,8,31,257750,263160,293946.0,236994.0,56952.0,1.2403098812628168,True,226,8252
NY,8,32,55591,220884,309840.0,259125.0,50715.0,1.1957163531114328,True,488,88238
NY,8,33,23247,24300,127449.0,105505.0,21944.0,1.207990142647268,True,646,12886
NY,8,34,82798,9268,1010341.0,947456.0,62885.0,1.0663724753445014,True,1721,193594
NY,8,35,194776,217851,266636.0,229408.0,37228.0,1.1622785604686847,True,2484,63599
NY,8,36,236584,38044,950934.0,819825.0,131109.0,1.1599231543317172,True,2904,160578
NY,8,37,48984,120151,275232.0,224962.0,50270.0,1.223459962126937,True,467,56270
NY,8,38,133767,124375,806873.0,620781.0,186092.0,1.2997707726235177,True,4526,222379
NY,8,39,179262,136330,243609.0,231023.0,12586.0,1.054479424126602,True,367,51056
NY,8,40,164231,13986,428383.0,366434.0,61949.0,1.1690590938613774,True,3608,91870
NY,8,41,61858,129312,300545.0,238105.0,62440.0,1.2622372482728208,True,513,26573
NY,8,42,12666,134633,241416.0,212507.0,28909.0,1.1360378716936383,True,707,36059
NY,8,43,104488,183323,568273.0,515094.0,53179.0,1.103241350122502,True,3435,195708
NY,8,44,30535,77373,889576.0,772226.0,117350.0,1.1519632853594672,True,2975,245192
NY,8,45,123684,24538,399172.0,376544.0,22628.0,1.0600939066881958,True,360,97918
NY,8,46,201664,139182,129528.0,123984.0,5544.0,1.0447154471544715,True,158,17450
NY,8,47,158338,184064,159282.0,130865.0,28417.0,1.2171474420204027,True,319,15330
NY,8,48,214020,98806,787218.0,666614.0,120604.0,1.1809202927031235,True,7241,212577
NY,8,49,90982,121626,448209.0,417516.0,30693.0,1.073513350386572,True,730,36494
NY,8,50,119176,218126,1037093.0,899413.0,137680.0,1.1530776184022247,True,5757,161116
NY,8,51,218969,122409,367061.0,284834.0,82227.0,1.2886839352043646,True,1341,63227
NY,8,52,23419,253618,286069.0,243168.0,42901.0,1.1764253520200025,True,748,66110
NY,8,53,245310,50015,693903.0,562801.0,131102.0,1.2329455704591854,True,1872,160417
