# git_hash=76b1d50, timestamp=2026-04-16T06:56:09.820084+00:00
method,K0,m,num_landmarks_or_dims,bytes_per_vertex,mean_expansions,median_expansions,expansion_reduction_pct,preprocess_sec,num_queries
Dijkstra,0,0,0,0,524738.5,540948.0,0.00,0.0,50
ALT,0,0,4,32,80399.5,,84.68,3.2,50
ALT,0,0,8,64,64543.5,,87.70,4.9,50
ALT,0,0,16,128,37919.9,,92.77,8.2,50
ALT,0,0,32,256,28147.3,,94.64,14.7,50
FastMap,0,0,8,32,407518.4,,22.34,2.3,50
FastMap,0,0,16,64,407518.4,,22.34,5.1,50
FastMap,0,0,32,128,407518.4,,22.34,11.7,50
FastMap,0,0,64,256,407518.4,,22.34,29.7,50
AAC,32,8,8,32,133581.7,,74.54,51.8,50
AAC,32,16,16,64,75242.1,,85.66,64.6,50
AAC,32,32,32,128,41656.5,,92.06,53.9,50
AAC,64,8,8,32,137499.3,,73.80,77.0,50
AAC,64,16,16,64,77055.4,,85.32,68.9,50
AAC,64,32,32,128,49050.7,,90.65,69.8,50
AAC,64,64,64,256,31967.5,,93.91,76.2,50
AAC,128,8,8,32,129175.7,,75.38,95.2,50
AAC,128,16,16,64,94938.4,,81.91,95.3,50
AAC,128,32,32,128,49298.6,,90.61,95.6,50
AAC,128,64,64,256,37501.5,,92.85,110.7,50
