method,K0,m,num_landmarks_or_dims,bytes_per_vertex,mean_expansions,median_expansions,expansion_reduction_pct,preprocess_sec,seed,admissibility_violations,violation_pct
AAC,32,8,8,32,118862.06,80763.5,77.34832406420813,60.70949801802635,42,,
AAC,32,16,16,64,77147.96,48194.5,85.29782683366388,71.05103908001911,42,,
AAC,32,32,32,128,46198.78,28879.5,91.19584673874117,67.04091671301285,42,,
AAC,64,8,8,32,130771.98,71547.0,75.07863726708207,82.67683093500091,42,,
AAC,64,16,16,64,82036.26,51534.0,84.36625802628387,77.91464107099455,42,,
AAC,64,32,32,128,47499.6,31023.0,90.94794801402787,81.04577862500446,42,,
AAC,64,64,64,256,32831.96,20177.0,93.74317660103753,92.84300002700184,42,,
AAC,128,8,8,32,133375.76,89905.5,74.582431995458,104.27295220998349,42,,
AAC,128,16,16,64,89002.48,59055.0,83.03869767660264,104.51757617399562,42,,
AAC,128,32,32,128,48433.32,31865.0,90.77000794757801,106.04466869396856,42,,
AAC,128,64,64,256,41172.08,24862.5,92.15379058917121,122.42008311400423,42,,
ALT,0,0,4,32,80399.52,61838.0,84.67817340172957,3.2730344580486417,42,,
ALT,0,0,8,64,64543.48,53174.0,87.69987670810801,4.734356106026098,42,,
ALT,0,0,16,128,37919.9,27847.0,92.77356217520011,7.757975070970133,42,,
ALT,0,0,32,256,28147.34,20378.5,94.6359298826341,13.95721981296083,42,,
FastMap,0,0,8,32,407518.42,323105.0,22.33875815625338,2.231717752991244,42,50,100.0
FastMap,0,0,16,64,407518.42,323105.0,22.33875815625338,4.995206303021405,42,50,100.0
FastMap,0,0,32,128,407518.42,323105.0,22.33875815625338,11.598492819000967,42,50,100.0
FastMap,0,0,64,256,407518.42,323105.0,22.33875815625338,29.15236734203063,42,50,100.0
AAC,32,8,8,32,104726.34,92571.0,80.04218406090592,58.90942546998849,123,,
AAC,32,16,16,64,92730.7,50397.0,82.3282066144644,71.18666994897649,123,,
AAC,32,32,32,128,47427.26,29056.0,90.96173392887063,66.75257072900422,123,,
AAC,64,8,8,32,140124.02,88336.0,73.29640852715814,82.80555423203623,123,,
AAC,64,16,16,64,74678.84,62709.5,85.76836979822787,79.76712238497566,123,,
AAC,64,32,32,128,45239.26,27633.5,91.37870354009486,71.6591316619888,123,,
AAC,64,64,64,256,39959.34,21490.0,92.38490380960816,89.21917124296306,123,,
AAC,128,8,8,32,118678.72,83080.5,77.3832633734046,98.82124247803586,123,,
AAC,128,16,16,64,88485.06,54320.0,83.13730298567012,105.79204337199917,123,,
AAC,128,32,32,128,41160.56,23057.5,92.1559859684771,104.3174596389872,123,,
AAC,128,64,64,256,39052.34,20017.0,92.55775181572352,126.24052411701996,123,,
ALT,0,0,4,32,80399.52,61838.0,84.67817340172957,3.334014825988561,123,,
ALT,0,0,8,64,64543.48,53174.0,87.69987670810801,5.137747429020237,123,,
ALT,0,0,16,128,37919.9,27847.0,92.77356217520011,8.581565073982347,123,,
ALT,0,0,32,256,28147.34,20378.5,94.6359298826341,14.923226518032607,123,,
FastMap,0,0,8,32,407518.42,323105.0,22.33875815625338,2.380847157968674,123,50,100.0
FastMap,0,0,16,64,407518.42,323105.0,22.33875815625338,5.163760495022871,123,50,100.0
FastMap,0,0,32,128,407518.42,323105.0,22.33875815625338,11.630819990998134,123,50,100.0
FastMap,0,0,64,256,407518.42,323105.0,22.33875815625338,29.188831887964625,123,50,100.0
AAC,32,8,8,32,147751.62,97736.0,71.84280824993053,60.50171522097662,456,,
AAC,32,16,16,64,64842.14,45446.5,87.64296073731815,71.48010537400842,456,,
AAC,32,32,32,128,42640.3,31795.0,91.87399025891906,65.91410154098412,456,,
AAC,64,8,8,32,134732.82,76348.0,74.32381555093882,83.12501687201438,456,,
AAC,64,16,16,64,92030.08,45805.0,82.46172455277151,80.5453831970226,456,,
AAC,64,32,32,128,48227.36,37291.5,90.80925797551572,77.79883136198623,456,,
AAC,64,64,64,256,29978.06,19387.0,94.28704752127193,80.77056163398083,456,,
AAC,128,8,8,32,116092.9,60086.0,77.87604598770801,103.71459991799202,456,,
AAC,128,16,16,64,85727.96,47921.0,83.66272662145913,103.3968296549865,456,,
AAC,128,32,32,128,53521.42,36388.5,89.80036303036132,104.95374592504231,456,,
