# git_hash=76b1d50, timestamp=2026-04-16T04:16:39.390822+00:00
method,K0,m,num_landmarks_or_dims,bytes_per_vertex,mean_expansions,median_expansions,expansion_reduction_pct,preprocess_sec,num_queries
Dijkstra,0,0,0,0,125391.3,116757.0,0.00,0.0,50
ALT,0,0,4,32,19855.4,,84.17,1.5,50
ALT,0,0,8,64,11298.5,,90.99,2.2,50
ALT,0,0,16,128,8151.8,,93.50,3.1,50
ALT,0,0,32,256,6272.3,,95.00,4.6,50
FastMap,0,0,8,32,91780.2,,26.81,0.6,50
FastMap,0,0,16,64,91768.7,,26.81,2.0,50
FastMap,0,0,32,128,91768.7,,26.81,4.3,50
FastMap,0,0,64,256,91768.7,,26.81,10.1,50
AAC,32,8,8,32,24834.2,,80.19,89.3,50
AAC,32,16,16,64,14676.6,,88.30,108.4,50
AAC,32,32,32,128,9609.4,,92.34,106.6,50
AAC,64,8,8,32,28525.9,,77.25,108.3,50
AAC,64,16,16,64,15344.2,,87.76,102.5,50
AAC,64,32,32,128,10297.9,,91.79,104.8,50
AAC,64,64,64,256,6373.9,,94.92,123.2,50
AAC,128,8,8,32,32761.7,,73.87,106.3,50
AAC,128,16,16,64,15532.6,,87.61,106.5,50
AAC,128,32,32,128,10489.0,,91.63,102.3,50
AAC,128,64,64,256,7007.2,,94.41,142.9,50
