method,K0,m,num_landmarks_or_dims,bytes_per_vertex,mean_expansions_mean,mean_expansions_std,expansion_reduction_mean,expansion_reduction_std,preprocess_sec_mean,num_seeds
ALT,0,0,4,32,19855.38,0.00,84.17,0.00,1.51,5
ALT,0,0,8,64,11298.50,0.00,90.99,0.00,2.21,5
ALT,0,0,16,128,8151.82,0.00,93.50,0.00,3.09,5
ALT,0,0,32,256,6272.28,0.00,95.00,0.00,4.62,5
FastMap,0,0,8,32,91780.16,0.00,26.81,0.00,0.63,5
FastMap,0,0,16,64,91768.70,0.00,26.81,0.00,1.99,5
FastMap,0,0,32,128,91768.70,0.00,26.81,0.00,4.29,5
FastMap,0,0,64,256,91768.70,0.00,26.81,0.00,10.06,5
AAC,32,8,8,32,24834.20,4539.11,80.19,3.62,89.25,5
AAC,32,16,16,64,14676.60,606.19,88.30,0.48,108.42,5
AAC,32,32,32,128,9609.37,415.91,92.34,0.33,106.58,5
AAC,64,8,8,32,28525.92,5579.66,77.25,4.45,108.35,5
AAC,64,16,16,64,15344.24,2352.74,87.76,1.88,102.48,5
AAC,64,32,32,128,10297.88,615.31,91.79,0.49,104.81,5
AAC,64,64,64,256,6373.92,247.10,94.92,0.20,123.23,5
AAC,128,8,8,32,32761.72,9885.75,73.87,7.88,106.30,5
AAC,128,16,16,64,15532.63,926.70,87.61,0.74,106.52,5
AAC,128,32,32,128,10489.05,1133.47,91.63,0.90,102.27,5
AAC,128,64,64,256,7007.23,611.87,94.41,0.49,142.95,5
