method,K0,m,num_landmarks_or_dims,bytes_per_vertex,mean_expansions,median_expansions,expansion_reduction_pct,preprocess_sec,seed,admissibility_violations,violation_pct
AAC,32,8,8,32,18885.14,15333.5,84.93903484532022,122.17660891299602,42,,
AAC,32,16,16,64,14412.0,10042.5,88.50637962920874,129.81088433397235,42,,
AAC,32,32,32,128,9956.94,6805.0,92.05930554990658,127.77211463503772,42,,
AAC,64,8,8,32,37282.54,18538.5,70.26704404532053,133.38338081800612,42,,
AAC,64,16,16,64,16067.94,8782.5,87.18576169160062,125.96307674597483,42,,
AAC,64,32,32,128,10909.86,6804.0,91.29934851939488,125.7931033410132,42,,
AAC,64,64,64,256,6596.76,4391.5,94.73906084393415,157.43020049098413,42,,
AAC,128,8,8,32,42952.42,16649.5,65.74529492875503,139.06497129797935,42,,
AAC,128,16,16,64,15163.34,11174.0,87.90718335323105,143.40749530296307,42,,
AAC,128,32,32,128,11473.3,7044.5,90.8500031501388,138.96977021702332,42,,
AAC,128,64,64,256,6144.22,3295.0,95.09996307558818,190.38740213098936,42,,
ALT,0,0,4,32,19855.38,10145.5,84.1652650542741,1.7983393470058218,42,,
ALT,0,0,8,64,11298.5,5332.5,90.98940676107513,2.4230139040155336,42,,
ALT,0,0,16,128,8151.82,4267.5,93.49889505890759,3.3892869069823064,42,,
ALT,0,0,32,256,6272.28,3495.5,94.99783477801091,4.682455330970697,42,,
FastMap,0,0,8,32,91780.16,69153.0,26.80500162291961,0.6134817230049521,42,50,100.0
FastMap,0,0,16,64,91768.7,69153.0,26.814141012972993,3.153321631019935,42,50,100.0
FastMap,0,0,32,128,91768.7,69153.0,26.814141012972993,7.066296898003202,42,50,100.0
FastMap,0,0,64,256,91768.7,69153.0,26.814141012972993,11.896337512996979,42,50,100.0
AAC,32,8,8,32,26755.68,22685.0,78.66225168731802,93.46372442500433,123,,
AAC,32,16,16,64,15712.2,10328.0,87.46946558493292,118.2140482289833,123,,
AAC,32,32,32,128,10130.46,4471.0,91.92092274344392,129.695354408992,123,,
AAC,64,8,8,32,30079.86,17137.5,76.01120651911258,108.71903060004115,123,,
AAC,64,16,16,64,13219.48,8134.0,89.45741849713656,109.56930318998639,123,,
AAC,64,32,32,128,10953.24,5555.0,91.26475281777923,125.98737782798707,123,,
AAC,64,64,64,256,6647.88,3998.0,94.69829246526673,152.56448862998514,123,,
AAC,128,8,8,32,42518.36,27848.0,66.09145929582037,118.56294061295921,123,,
AAC,128,16,16,64,16590.54,11513.0,86.76898636508274,142.0738655560417,123,,
AAC,128,32,32,128,8625.46,6418.5,93.12116550350783,109.97502388199791,123,,
AAC,128,64,64,256,6965.62,3719.0,94.44489370474666,183.247875156987,123,,
ALT,0,0,4,32,19855.38,10145.5,84.1652650542741,1.7593274530372582,123,,
ALT,0,0,8,64,11298.5,5332.5,90.98940676107513,2.2901472510420717,123,,
ALT,0,0,16,128,8151.82,4267.5,93.49889505890759,2.9713548740255646,123,,
ALT,0,0,32,256,6272.28,3495.5,94.99783477801091,4.70298055105377,123,,
FastMap,0,0,8,32,91780.16,69153.0,26.80500162291961,0.703780155046843,123,50,100.0
FastMap,0,0,16,64,91768.7,69153.0,26.814141012972993,2.229322423983831,123,50,100.0
FastMap,0,0,32,128,91768.7,69153.0,26.814141012972993,3.5475534650031477,123,50,100.0
FastMap,0,0,64,256,91768.7,69153.0,26.814141012972993,12.054651763988659,123,50,100.0
AAC,32,8,8,32,21707.0,15371.0,82.68859163275283,84.24610725301318,456,,
AAC,32,16,16,64,14146.76,9871.5,88.71790945623819,101.02079328201944,456,,
AAC,32,32,32,128,9148.38,5728.5,92.70413497587154,97.8083502590307,456,,
AAC,64,8,8,32,24645.7,17332.5,80.34496811182275,106.76234790304443,456,,
AAC,64,16,16,64,12533.22,6360.0,90.0047132456558,100.879500059993,456,,
AAC,64,32,32,128,10197.7,5472.5,91.86729860843616,102.84373577299993,456,,
AAC,64,64,64,256,6251.1,3685.0,95.01472590203626,121.33540380100021,456,,
AAC,128,8,8,32,27619.28,20140.5,77.97352766898501,106.01098738895962,456,,
AAC,128,16,16,64,16322.18,10530.0,86.98300440301679,100.32183333998546,456,,
AAC,128,32,32,128,10977.02,5946.0,91.24578818466672,101.56731922301697,456,,
AAC,128,64,64,256,7426.02,3936.0,94.07772309562147,131.2574609379517,456,,
ALT,0,0,4,32,19855.38,10145.5,84.1652650542741,2.0051552720251493,456,,
ALT,0,0,8,64,11298.5,5332.5,90.98940676107513,2.6002710160100833,456,,
ALT,0,0,16,128,8151.82,4267.5,93.49889505890759,3.40533996198792,456,,
ALT,0,0,32,256,6272.28,3495.5,94.99783477801091,5.243529531988315,456,,
FastMap,0,0,8,32,91780.16,69153.0,26.80500162291961,0.5761608929606155,456,50,100.0
FastMap,0,0,16,64,91768.7,69153.0,26.814141012972993,1.7893533990136348,456,50,100.0
FastMap,0,0,32,128,91768.7,69153.0,26.814141012972993,2.9574427100014873,456,50,100.0
FastMap,0,0,64,256,91768.7,69153.0,26.814141012972993,11.469657219015062,456,50,100.0
AAC,32,8,8,32,30406.08,18276.5,75.7510449289544,75.44049968401669,789,,
AAC,32,16,16,64,14462.28,8859.0,88.46628115347715,98.86686087900307,789,,
AAC,32,32,32,128,9360.96,5196.5,92.53460168289187,91.25271712301765,789,,
AAC,64,8,8,32,23107.76,13085.5,81.57148063701389,97.89176977501484,789,,
AAC,64,16,16,64,17856.78,10522.0,85.75915553949915,76.19711653399281,789,,
AAC,64,32,32,128,9812.32,4944.5,92.17464050536202,79.87226987100439,789,,
AAC,64,64,64,256,6318.24,4095.0,94.96118151737801,105.59926769201411,789,,
AAC,128,8,8,32,20075.66,9408.5,83.98959098438249,105.43216938199475,789,,
AAC,128,16,16,64,15275.02,7206.5,87.81811816290285,82.23799514002167,789,,
AAC,128,32,32,128,11122.12,5315.5,91.13007042753365,95.61649632797344,789,,
AAC,128,64,64,256,7728.48,4222.5,93.83651018850591,125.50759039900731,789,,
ALT,0,0,4,32,19855.38,10145.5,84.1652650542741,1.2290064350236207,789,,
ALT,0,0,8,64,11298.5,5332.5,90.98940676107513,2.4298890880309045,789,,
ALT,0,0,16,128,8151.82,4267.5,93.49889505890759,3.5389812599751167,789,,
ALT,0,0,32,256,6272.28,3495.5,94.99783477801091,4.73082610196434,789,,
FastMap,0,0,8,32,91780.16,69153.0,26.80500162291961,0.6858147620223463,789,50,100.0
FastMap,0,0,16,64,91768.7,69153.0,26.814141012972993,1.253329664003104,789,50,100.0
