graph,seed,method,K0,m,bytes_per_vertex,val_reduction_pct,test_reduction_pct,val_mean_exp,test_mean_exp,preprocess_sec,selection
FLA,42,AAC,32,8,32,80.1719312836331,77.36236065466642,101706.75,128588.25,67.83936876704684,val-selected
FLA,42,AAC,32,16,64,85.5455213081056,84.50734155905866,74143.28,88002.72,74.31577910797205,val-selected
FLA,42,AAC,32,32,128,91.3463651830524,91.53959749169641,44388.24,48057.5,67.88890954799717,val-selected
FLA,42,ALT,0,0,32,85.64652857343103,84.5286098569732,73625.17,87881.91,3.341762935044244,N/A
FLA,42,ALT,0,0,64,88.48400203297324,87.63683401606606,59070.54,70226.31,4.8164746789843775,N/A
FLA,42,ALT,0,0,128,92.84212894485609,91.77599758941686,36715.82,46714.68,7.885720051010139,N/A
FLA,42,ALT,0,0,256,94.69882538674352,94.18137853040585,27192.02,33051.43,13.922550941002555,N/A
FLA,123,AAC,32,8,32,81.40030486800393,77.45190897365666,95405.89,128079.59,63.1909694300266,val-selected
FLA,123,AAC,64,16,64,85.36735151818924,86.17567149312025,75057.19,78526.13,82.03100870002527,val-selected
FLA,123,AAC,64,32,128,91.97443265171803,90.89179552301712,41166.61,51737.2,82.7920100989868,val-selected
FLA,123,ALT,0,0,32,85.64652857343103,84.5286098569732,73625.17,87881.91,3.395260090008378,N/A
FLA,123,ALT,0,0,64,88.48400203297324,87.63683401606606,59070.54,70226.31,4.70872218394652,N/A
FLA,123,ALT,0,0,128,92.84212894485609,91.77599758941686,36715.82,46714.68,7.9483825849602,N/A
FLA,123,ALT,0,0,256,94.69882538674352,94.18137853040585,27192.02,33051.43,13.916682564013172,N/A
FLA,456,AAC,128,8,32,78.87640407818954,80.29527319692905,108352.07,111928.47,106.41882060398348,val-selected
FLA,456,AAC,32,16,64,88.32061750294818,86.78792419106132,59908.61,75048.36,74.27087780099828,val-selected
FLA,456,AAC,32,32,128,92.39869006964318,91.72624656722789,38990.41,46997.28,69.43919469398679,val-selected
FLA,456,ALT,0,0,32,85.64652857343103,84.5286098569732,73625.17,87881.91,3.1997432780335657,N/A
FLA,456,ALT,0,0,64,88.48400203297324,87.63683401606606,59070.54,70226.31,4.772863062971737,N/A
FLA,456,ALT,0,0,128,92.84212894485609,91.77599758941686,36715.82,46714.68,8.212180147995241,N/A
FLA,456,ALT,0,0,256,94.69882538674352,94.18137853040585,27192.02,33051.43,14.884742845024448,N/A
FLA,789,AAC,128,8,32,76.85789637958035,70.28145575716064,118705.87,168809.81,69.40811442496488,val-selected
FLA,789,AAC,64,16,64,88.48386166658186,87.95164214727032,59071.26,68438.11,69.7433806079789,val-selected
FLA,789,AAC,32,32,128,92.91001169135068,92.4936481623555,36367.62,42638.22,34.997642365982756,val-selected
FLA,789,ALT,0,0,32,85.64652857343103,84.5286098569732,73625.17,87881.91,2.441445151984226,N/A
FLA,789,ALT,0,0,64,88.48400203297324,87.63683401606606,59070.54,70226.31,3.8534167939797044,N/A
FLA,789,ALT,0,0,128,92.84212894485609,91.77599758941686,36715.82,46714.68,6.606581635016482,N/A
FLA,789,ALT,0,0,256,94.69882538674352,94.18137853040585,27192.02,33051.43,12.38613748998614,N/A
FLA,1024,AAC,64,8,32,76.61418133349241,75.92132036044035,119955.99,136773.77,24.562045103986748,val-selected
FLA,1024,AAC,32,16,64,85.73234117689032,85.5065343284782,73185.0,82327.02,13.114816660003271,val-selected
FLA,1024,AAC,32,32,128,93.33802585977826,92.52789644210301,34172.15,42443.68,12.815166452957783,val-selected
FLA,1024,ALT,0,0,32,85.64652857343103,84.5286098569732,73625.17,87881.91,2.361249037028756,N/A
FLA,1024,ALT,0,0,64,88.48400203297324,87.63683401606606,59070.54,70226.31,3.7804938059998676,N/A
FLA,1024,ALT,0,0,128,92.84212894485609,91.77599758941686,36715.82,46714.68,6.751518774020951,N/A
FLA,1024,ALT,0,0,256,94.69882538674352,94.18137853040585,27192.02,33051.43,12.438330420001876,N/A
