graph,seed,method,K0,m,bytes_per_vertex,val_reduction_pct,test_reduction_pct,val_mean_exp,test_mean_exp,preprocess_sec,selection
NY,42,AAC,32,8,32,85.9188769101833,84.8758742650076,18779.08,19022.9,273.37915915600024,val-selected
NY,42,AAC,128,16,64,89.17086090490571,87.17198987330983,14442.12,16134.88,155.84103002899792,val-selected
NY,42,AAC,32,32,128,92.54454235645117,92.22691539278053,9942.86,9776.87,136.5838487239671,val-selected
NY,42,ALT,0,0,32,85.10971254430841,85.70039508338905,19858.21,17985.83,1.5882252470473759,N/A
NY,42,ALT,0,0,64,91.19703733052617,91.06185945436943,11739.94,11242.26,1.637091098993551,N/A
NY,42,ALT,0,0,128,93.72661232446566,93.7265435884079,8366.41,7890.66,3.306236289034132,N/A
NY,42,ALT,0,0,256,95.49791393462874,95.22094036572703,6004.14,6011.03,3.853915293002501,N/A
NY,123,AAC,32,8,32,81.44649912108642,80.00665614499647,24743.6,25147.33,55.62180702196201,val-selected
NY,123,AAC,64,16,64,89.69002090601845,90.04674168902143,13749.75,12519.06,66.14851293200627,val-selected
NY,123,AAC,128,32,128,92.7643176158156,92.53804962389839,9649.76,9385.53,80.26931592798792,val-selected
NY,123,ALT,0,0,32,85.10971254430841,85.70039508338905,19858.21,17985.83,2.374114195990842,N/A
NY,123,ALT,0,0,64,91.19703733052617,91.06185945436943,11739.94,11242.26,2.6580742690130137,N/A
NY,123,ALT,0,0,128,93.72661232446566,93.7265435884079,8366.41,7890.66,4.017353856004775,N/A
NY,123,ALT,0,0,256,95.49791393462874,95.22094036572703,6004.14,6011.03,7.71551464300137,N/A
NY,456,AAC,32,8,32,83.79419527875353,78.89619617850458,21612.63,26544.05,107.36037438397761,val-selected
NY,456,AAC,64,16,64,90.3419233641946,90.05648103161661,12880.35,12506.81,114.3885786710307,val-selected
NY,456,AAC,32,32,128,93.25961051864937,92.42042221679999,8989.22,9533.48,105.8152352690231,val-selected
NY,456,ALT,0,0,32,85.10971254430841,85.70039508338905,19858.21,17985.83,1.7486181400017813,N/A
NY,456,ALT,0,0,64,91.19703733052617,91.06185945436943,11739.94,11242.26,2.244761425012257,N/A
NY,456,ALT,0,0,128,93.72661232446566,93.7265435884079,8366.41,7890.66,2.4122994559584185,N/A
NY,456,ALT,0,0,256,95.49791393462874,95.22094036572703,6004.14,6011.03,3.914121982001234,N/A
NY,789,AAC,128,8,32,84.41373506141223,83.2777157242521,20786.39,21033.04,109.35638323001331,val-selected
NY,789,AAC,128,16,64,89.26249016691298,88.52201381619165,14319.92,14436.84,120.71178631897783,val-selected
NY,789,AAC,32,32,128,93.17408487524061,93.05405987079986,9103.28,8736.5,113.74057039798936,val-selected
NY,789,ALT,0,0,32,85.10971254430841,85.70039508338905,19858.21,17985.83,1.4782517720013857,N/A
NY,789,ALT,0,0,64,91.19703733052617,91.06185945436943,11739.94,11242.26,2.392899625003338,N/A
NY,789,ALT,0,0,128,93.72661232446566,93.7265435884079,8366.41,7890.66,3.3473201710148714,N/A
NY,789,ALT,0,0,256,95.49791393462874,95.22094036572703,6004.14,6011.03,5.282293306023348,N/A
NY,1024,AAC,32,8,32,80.40092825991158,79.25173386137267,26138.01,26096.86,82.82435455499217,val-selected
NY,1024,AAC,128,16,64,89.6436588988997,88.57795341986481,13811.58,14366.48,82.08956318197306,val-selected
NY,1024,AAC,32,32,128,92.82662101499878,92.78526196565693,9566.67,9074.59,120.41081096802372,val-selected
NY,1024,ALT,0,0,32,85.10971254430841,85.70039508338905,19858.21,17985.83,1.4104568879702128,N/A
NY,1024,ALT,0,0,64,91.19703733052617,91.06185945436943,11739.94,11242.26,1.7811892910394818,N/A
NY,1024,ALT,0,0,128,93.72661232446566,93.7265435884079,8366.41,7890.66,2.4627613030024804,N/A
NY,1024,ALT,0,0,256,95.49791393462874,95.22094036572703,6004.14,6011.03,3.963889693026431,N/A
