graph,query_idx,source,target,hit_expansions,alt_expansions,hit_p50_ms,alt_p50_ms
NY,0,121958,146867,21683,25566,123.18070093169808,244.55109692644328
NY,1,131932,259178,20647,17181,123.77863295841962,177.86661197897047
NY,2,119879,110268,1209,1208,32.46065101120621,48.350519966334105
NY,3,207892,54886,2095,1933,37.77534898836166,55.38646504282951
NY,4,137337,87498,30541,21287,150.035614031367,219.0312989987433
NY,5,175203,191335,45080,91184,219.69944005832076,747.1010369481519
NY,6,41090,64820,6088,1417,51.40607396606356,51.43207497894764
NY,7,262913,194027,5466,5075,47.273874981328845,75.07667201571167
NY,8,252709,199041,1457,2054,33.047814038582146,55.45609106775373
NY,9,103355,235796,14374,8342,77.76156801264733,97.16000291518867
NY,10,214176,184779,215,295,27.845095959492028,42.91722201742232
NY,11,258795,156730,21174,32385,113.58953395392746,279.1549280518666
NY,12,149503,130523,6844,3051,55.73866900522262,62.568241031840444
NY,13,2747,123855,32489,29218,148.3274920610711,288.81951596122235
NY,14,65725,129981,1923,1870,35.64903303049505,55.508450022898614
NY,15,84654,67435,12279,4638,71.76717894617468,73.78945499658585
NY,16,31551,3890,11327,15028,66.32192002143711,141.7199260322377
NY,17,41606,256840,18863,3518,110.14940799213946,68.46424995455891
NY,18,141699,239931,822,6006,32.652556081302464,88.58821296598762
NY,19,239629,205041,20918,23245,132.11677793879062,233.31364197656512
NY,20,174073,207624,7358,4421,56.25234404578805,73.77333892509341
NY,21,68148,252801,19225,17083,114.46081206668168,189.76108403876424
NY,22,124243,251995,29853,13392,138.63094500266016,140.27246297337115
NY,23,154555,48555,7181,754,60.43881899677217,47.890354064293206
NY,24,256508,106530,36113,25915,166.01113905198872,223.73347997199744
NY,25,80077,200551,25587,20564,150.26343404315412,208.76101194880903
NY,26,208261,240181,10954,17911,72.41465302649885,180.41909800376743
NY,27,171829,202283,4741,7304,49.71857205964625,103.92967995721847
NY,28,196769,37065,4429,4506,48.03097201511264,77.42026099003851
NY,29,223165,99299,12292,10027,73.90642398968339,114.49541500769556
NY,30,11534,40397,5250,5608,49.476417945697904,85.60281002428383
NY,31,257750,263160,355,1319,30.52839799784124,47.95519099570811
NY,32,55591,220884,3595,728,43.409202015027404,47.20279201865196
NY,33,23247,24300,1027,1244,34.177390043623745,49.22049702145159
NY,34,82798,9268,5631,5590,53.34068299271166,87.62044494505972
NY,35,194776,217851,3785,707,47.04470606520772,48.51282702293247
NY,36,236584,38044,37179,17046,175.14683702029288,173.84588601998985
NY,37,48984,120151,2187,3380,37.52956399694085,65.70802594069391
NY,38,133767,124375,20190,18604,107.71614394616336,198.9075600868091
NY,39,179262,136330,3178,3279,43.415904976427555,66.74246897455305
NY,40,164231,13986,9715,11659,73.63547198474407,133.6605950491503
NY,41,61858,129312,1739,1795,38.76162809319794,53.91188699286431
NY,42,12666,134633,2780,3659,42.49601101037115,67.47750903014094
NY,43,104488,183323,14882,16261,115.79610395710915,169.4918810389936
NY,44,30535,77373,25664,22691,127.13246908970177,207.6049370225519
NY,45,123684,24538,1277,1197,37.561433971859515,50.2096910495311
NY,46,201664,139182,792,728,35.370012978091836,45.397502020932734
NY,47,158338,184064,4403,3268,49.84721995424479,65.29245898127556
NY,48,214020,98806,37955,27067,194.420451996848,270.68981202319264
NY,49,90982,121626,2878,2717,42.96306800097227,60.39652298204601
NY,50,119176,218126,18146,18998,95.24275094736367,189.52704092953354
NY,51,218969,122409,8470,2692,64.02467610314488,61.628986033611
NY,52,23419,253618,6020,3839,57.25581001024693,72.04578793607652
NY,53,245310,50015,17866,20465,111.11934902146459,186.56627100426704
NY,54,248550,122096,8186,6540,64.83043101616204,90.7822570297867
NY,55,107059,185340,24731,49842,152.22225501202047,428.39569703210145
NY,56,110687,211428,2399,13712,44.26168499048799,175.36801099777222
NY,57,105878,202982,10110,25234,75.76903398148715,226.15859599318355
NY,58,198286,249002,2360,3726,44.59693992976099,70.47640706878155
NY,59,250396,164899,7799,8413,65.67071401514113,105.75477394741029
NY,60,43585,64044,9037,5695,67.70702102221549,84.66962608508766
NY,61,109556,2693,35740,18860,162.92545397300273,196.90073805395514
NY,62,243307,200235,4253,7394,49.50048099271953,92.70388097502291
NY,63,25939,152906,20289,21289,124.1819360293448,216.27907804213464
NY,64,18047,75766,20646,13185,111.18568200618029,153.68254610802978
NY,65,44262,161152,24555,18482,129.68400109093636,215.14028403908014
NY,66,128376,137848,7402,9689,79.32870602235198,119.14224899373949
NY,67,92787,127948,3344,1956,46.991987968795,53.69692493695766
NY,68,55016,21959,3878,2249,52.02267598360777,57.32926202472299
NY,69,136602,225928,15388,10905,94.51325703412294,121.28969200421125
NY,70,228576,13545,3513,5475,49.468798912130296,82.83876592759043
