graph,seed,hit_mean,alt_mean,wilcoxon_stat,p_twosided,p_less,hit_wins,n_queries
NY,42,14491.19,8366.41,530.5,1.1458948544911037e-11,0.9999999999942705,16,100
NY,123,13749.75,8366.41,330.0,4.4494010517316685e-14,0.9999999999999778,11,100
NY,456,12880.35,8366.41,252.0,1.3399003021326128e-14,0.9999999999999933,10,100
NY,789,17526.57,8366.41,281.0,1.2041350928165e-14,0.999999999999994,11,100
NY,1024,16424.97,8366.41,246.0,4.653394762147336e-15,0.9999999999999977,7,100
BAY,42,35392.24,12460.2,108.0,1.4383398068821982e-16,0.9999999999999999,8,100
BAY,123,22156.43,12460.2,663.0,4.2228616678931106e-10,0.9999999997888569,19,100
BAY,456,18685.86,12460.2,576.0,9.255860651539425e-11,0.9999999999537207,16,100
BAY,789,27120.01,12460.2,325.5,1.5830852093638908e-13,0.9999999999999208,12,100
BAY,1024,18568.65,12460.2,965.0,6.330812706630537e-07,0.9999996834593646,21,100
COL,42,26808.46,23219.11,1415.0,0.00034256405240925164,0.9998287179737954,26,100
COL,123,35419.82,23219.11,756.0,3.2985233427368754e-09,0.9999999983507384,19,100
COL,456,30017.54,23219.11,1086.5,7.573933707345042e-07,0.9999996213033147,19,100
COL,789,34301.78,23219.11,826.0,5.166648052934121e-09,0.999999997416676,20,100
COL,1024,39874.01,23219.11,203.0,3.3909515096842104e-15,0.9999999999999983,6,100
FLA,42,80568.46,36715.82,583.0,4.012148567655842e-11,0.9999999999799393,19,100
FLA,123,75057.19,36715.82,631.0,1.2258684955247295e-10,0.9999999999387066,17,100
FLA,456,87256.93,36715.82,715.0,4.86594327106834e-10,0.9999999997567028,17,100
FLA,789,59071.26,36715.82,1146.0,2.1219407201930522e-06,0.9999989390296399,25,100
FLA,1024,75069.57,36715.82,507.0,6.470324386830009e-12,0.9999999999967648,15,100
