graph,budget_bpv,n_seeds,fisher_combined_p,stouffer_combined_p
BAY,32,5,1.9817845088177154e-25,1.6603994677299982e-26
BAY,64,5,3.0270158936869523e-09,1.210430587338758e-07
BAY,128,5,6.168120718645074e-05,0.0002669846864576163
COL,32,5,8.569364528535746e-12,1.1515385877547448e-09
COL,64,5,4.788918320965714e-05,2.603564238770671e-05
COL,128,5,0.010836715373954696,0.0012521544306142703
FLA,32,5,6.008529424970386e-24,3.923274719966488e-25
FLA,64,5,0.015837473240216088,0.0005544908104304147
FLA,128,5,6.010104359001926e-08,5.308632632780909e-09
NY,32,5,2.2126703310611468e-17,5.916380933092385e-20
NY,64,5,7.796209741280104e-13,4.605956718154345e-14
NY,128,5,8.260066237400381e-15,8.060498216240135e-17
