graph,method,K0,m,alt_K,bytes_per_vertex,mean_expansions,expansion_reduction_pct,preprocess_sec,mean_query_latency_ms,admissibility_violations,seed
modena,AAC,16,8,0,32,2587.27,83.77942063403496,274.9789869399974,124.1341706115054,0,42
modena,AAC,32,16,0,64,1960.34,87.70988317636895,169.6181148889591,18.968660340760835,0,42
modena,AAC,64,32,0,128,1628.27,89.79175626655899,165.72505311999703,21.16476030088961,0,42
modena,AAC+ALT,16,8,4,64,1796.04,88.73994234677949,123.02730357903056,61.07868441496976,0,42
modena,AAC+ALT,32,16,4,96,1729.57,89.1566680501099,92.72743764403276,39.68557024956681,0,42
modena,ALT,0,0,4,32,2651.31,83.37792952464305,0.6721582869649865,21.923462000559084,0,42
modena,ALT,0,0,8,64,1403.96,91.19804094406835,0.796424833999481,13.088536010473035,0,42
modena,ALT,0,0,12,96,1201.99,92.46426766742694,0.7130139390355907,11.455206128302962,0,42
modena,ALT,0,0,16,128,1141.0,92.84663716714293,0.8983305630390532,11.387949329800904,0,42
modena,ALT,0,0,32,256,898.58,94.36646032046563,0.8932094980264083,10.135143245570362,0,42
modena,AAC,16,8,0,32,3606.38,77.39023255638993,78.63343937898753,31.150717618875206,0,123
modena,AAC,32,16,0,64,2264.67,85.80192269352636,109.8217712760088,29.609085469855927,0,123
modena,AAC,64,32,0,128,1424.46,91.06951864952535,84.34173399303108,25.33242715348024,0,123
modena,AAC+ALT,16,8,4,64,1991.93,87.51183345516829,103.19140995002817,60.27372771350201,0,123
modena,AAC+ALT,32,16,4,96,1684.15,89.44142329977544,93.34196453698678,28.145379268098623,0,123
modena,ALT,0,0,4,32,2651.31,83.37792952464305,0.9224924379959702,42.81914134218823,0,123
modena,ALT,0,0,8,64,1403.96,91.19804094406835,1.174025130982045,31.252044003922492,0,123
modena,ALT,0,0,12,96,1201.99,92.46426766742694,1.0465164130437188,11.42348506662529,0,123
modena,ALT,0,0,16,128,1141.0,92.84663716714293,0.9495199819793925,21.584089700481854,0,123
modena,ALT,0,0,32,256,898.58,94.36646032046563,1.389993057004176,21.29833139188122,0,123
modena,AAC,16,8,0,32,3548.2,77.75498509768322,88.90152712498093,54.424794159131125,0,456
modena,AAC,32,16,0,64,2231.73,86.0084360780262,99.0122756359633,46.20429728238378,0,456
modena,AAC,64,32,0,128,1274.31,92.01086608980009,106.15070835099323,12.733070611720905,0,456
modena,AAC+ALT,16,8,4,64,1856.08,88.36352875827401,98.54381735797506,30.780021622776985,0,456
modena,AAC+ALT,32,16,4,96,1827.83,88.5406387495345,94.2959245829843,53.16292616247665,0,456
modena,ALT,0,0,4,32,2651.31,83.37792952464305,0.7293796479934826,39.68086110253353,0,456
modena,ALT,0,0,8,64,1403.96,91.19804094406835,0.5761687619960867,24.613445361028425,0,456
modena,ALT,0,0,12,96,1201.99,92.46426766742694,0.8694729969720356,21.547367706079967,0,456
modena,ALT,0,0,16,128,1141.0,92.84663716714293,0.9160174379940145,20.50402729131747,0,456
modena,ALT,0,0,32,256,898.58,94.36646032046563,0.4850119079928845,10.638321086880751,0,456
modena,AAC,16,8,0,32,2780.51,82.56792560001102,69.42549350397894,47.9272458498599,0,789
modena,AAC,32,16,0,64,2412.54,84.87486944015689,47.63938003499061,21.439400087692775,0,789
modena,AAC,64,32,0,128,1262.63,92.0840924507885,83.94444830401335,12.071655985200778,0,789
modena,AAC+ALT,16,8,4,64,2012.39,87.38356193583414,33.714287239999976,31.92971255048178,0,789
modena,AAC+ALT,32,16,4,96,2053.93,87.12313188142846,36.31201861600857,32.901569313253276,0,789
modena,ALT,0,0,4,32,2651.31,83.37792952464305,0.27683972497470677,20.287079585832544,0,789
modena,ALT,0,0,8,64,1403.96,91.19804094406835,0.3135046939714812,12.147757051861845,0,789
modena,ALT,0,0,12,96,1201.99,92.46426766742694,0.3232996299630031,10.90295926143881,0,789
modena,ALT,0,0,16,128,1141.0,92.84663716714293,0.3449361249804497,10.373492909711786,0,789
modena,ALT,0,0,32,256,898.58,94.36646032046563,0.4666285080020316,8.94202534109354,0,789
modena,AAC,16,8,0,32,2889.99,81.88155385334916,32.16310549696209,24.309876508195885,0,1024
modena,AAC,32,16,0,64,1662.61,89.5764657497489,43.582664419023786,28.70599129877519,0,1024
modena,AAC,64,32,0,128,1282.57,91.9590810091696,53.37630295497365,12.267688537831418,0,1024
modena,AAC+ALT,16,8,4,64,2204.09,86.1817217473515,35.402650200005155,34.10658449458424,0,1024
modena,AAC+ALT,32,16,4,96,1511.28,90.52521105868516,62.28001943597337,25.405376877752133,0,1024
modena,ALT,0,0,4,32,2651.31,83.37792952464305,0.279464811028447,20.446621650480665,0,1024
modena,ALT,0,0,8,64,1403.96,91.19804094406835,0.2982136800419539,12.275649916846305,0,1024
modena,ALT,0,0,12,96,1201.99,92.46426766742694,0.32158890896243975,10.682699189055711,0,1024
modena,ALT,0,0,16,128,1141.0,92.84663716714293,0.3491575400112197,10.626499846111983,0,1024
modena,ALT,0,0,32,256,898.58,94.36646032046563,0.45389944803901017,9.483165662968531,0,1024
manhattan,AAC,16,8,0,32,404.74,82.62030822608972,57.65407743904507,3.7970644008601084,0,42
manhattan,AAC,32,16,0,64,345.08,85.18213164663497,47.62164239399135,3.340880289906636,0,42
manhattan,AAC,64,32,0,128,220.76,90.52048041703704,44.2137615190004,2.4036384030478075,0,42
manhattan,AAC+ALT,16,8,4,64,282.43,87.87234682090853,30.138188419979997,5.180137720308267,0,42
manhattan,AAC+ALT,32,16,4,96,196.69,91.55405550474276,43.608670109999366,3.9319494244409725,0,42
manhattan,ALT,0,0,4,32,375.95,83.85656193506554,0.11702790699200705,3.225351501023397,0,42
manhattan,ALT,0,0,8,64,222.73,90.43588785688829,0.09472947497852147,2.6449757569935173,0,42
manhattan,ALT,0,0,12,96,195.0,91.62662475685006,0.12195615901146084,2.0345014124177396,0,42
manhattan,ALT,0,0,16,128,183.17,92.13460952160116,0.17459071101620793,1.9499307917430997,0,42
manhattan,ALT,0,0,32,256,152.45,93.45373817529125,0.11756662500556558,1.7017339414451271,0,42
manhattan,AAC,16,8,0,32,472.12,79.72698502668744,52.92319698899519,4.178026975132525,0,123
manhattan,AAC,32,16,0,64,342.66,85.28604738042176,54.081017521966714,5.366576049127616,0,123
manhattan,AAC,64,32,0,128,232.64,90.01034863299282,38.969922126038,2.4248424486722797,0,123
manhattan,AAC+ALT,16,8,4,64,267.44,88.51602320498452,55.13988700299524,8.167154128896073,0,123
manhattan,AAC+ALT,32,16,4,96,247.63,89.36667224891683,48.50536418298725,4.702294751768932,0,123
manhattan,ALT,0,0,4,32,375.95,83.85656193506554,0.03646759799448773,3.19767456385307,0,123
manhattan,ALT,0,0,8,64,222.73,90.43588785688829,0.04745536303380504,2.154726240551099,0,123
manhattan,ALT,0,0,12,96,195.0,91.62662475685006,0.05031286197481677,1.9459219719283283,0,123
manhattan,ALT,0,0,16,128,183.17,92.13460952160116,0.05540972703602165,1.8851586204255,0,123
manhattan,ALT,0,0,32,256,152.45,93.45373817529125,0.07282948604552075,1.6783406940521672,0,123
manhattan,AAC,16,8,0,32,439.94,81.1088066437365,61.87969961401541,3.9931189600611106,0,456
manhattan,AAC,32,16,0,64,301.63,87.04789141235223,37.947670154972,2.992388670681976,0,456
manhattan,AAC,64,32,0,128,171.53,92.63443561303842,48.616265064978506,2.0418354985304177,0,456
manhattan,AAC+ALT,16,8,4,64,302.83,86.99636294931746,53.70313079201151,5.49069439759478,0,456
manhattan,AAC+ALT,32,16,4,96,219.23,90.58617920740636,50.26565205503721,7.8647426690440625,0,456
manhattan,ALT,0,0,4,32,375.95,83.85656193506554,0.12595297599909827,3.2363588246516883,0,456
manhattan,ALT,0,0,8,64,222.73,90.43588785688829,0.1250443669850938,2.2018204018240795,0,456
manhattan,ALT,0,0,12,96,195.0,91.62662475685006,0.11184040596708655,3.21851997054182,0,456
manhattan,ALT,0,0,16,128,183.17,92.13460952160116,0.1018143729888834,2.9831675806781277,0,456
manhattan,ALT,0,0,32,256,152.45,93.45373817529125,0.22033089597243816,2.8653229272458702,0,456
manhattan,AAC,16,8,0,32,425.85,81.71383668053642,64.33337564597605,4.517282594460994,0,789
manhattan,AAC,32,16,0,64,303.27,86.97746917953805,101.80418787599774,5.000033043907024,0,789
manhattan,AAC,64,32,0,128,173.94,92.53094928311026,104.6234275859897,2.366740771685727,0,789
manhattan,AAC+ALT,16,8,4,64,325.49,86.02333380567757,60.80466967198299,6.654432133072987,0,789
manhattan,AAC+ALT,32,16,4,96,218.39,90.6222491315307,70.85614099999657,4.351060368353501,0,789
manhattan,ALT,0,0,4,32,375.95,83.85656193506554,0.08436530997278169,3.250152911641635,0,789
manhattan,ALT,0,0,8,64,222.73,90.43588785688829,0.13787803601007909,3.1712223502108827,0,789
manhattan,ALT,0,0,12,96,195.0,91.62662475685006,0.08937092596897855,2.1760150173213333,0,789
manhattan,ALT,0,0,16,128,183.17,92.13460952160116,0.1379857130232267,3.3613644301658496,0,789
manhattan,ALT,0,0,32,256,152.45,93.45373817529125,0.11965603299904615,2.7332952804863453,0,789
manhattan,AAC,16,8,0,32,675.75,70.9830342535458,58.47053890803363,9.356521088629961,0,1024
manhattan,AAC,32,16,0,64,248.66,89.32244365147865,106.602937276999,2.8695015591802076,0,1024
manhattan,AAC,64,32,0,128,182.97,92.14319759877363,78.88267144100973,2.152503894176334,0,1024
manhattan,AAC+ALT,16,8,4,64,240.15,89.68786633516689,87.65521923603956,5.415629108902067,0,1024
manhattan,AAC+ALT,32,16,4,96,206.11,91.14955706991982,98.0781885139877,12.109172341879457,0,1024
manhattan,ALT,0,0,4,32,375.95,83.85656193506554,0.14961090602446347,8.519032266340218,0,1024
manhattan,ALT,0,0,8,64,222.73,90.43588785688829,0.17698823101818562,4.7811116924276575,0,1024
manhattan,ALT,0,0,12,96,195.0,91.62662475685006,0.2843797650421038,3.688536452827975,0,1024
