graph,method,K0,m,num_landmarks_or_dims,bytes_per_vertex,reduction_mean,reduction_std,expansions_mean,latency_mean_ms,peak_memory_mb_max,n_seeds
berlin,ALT,0,0,4,32,86.46,0.00,1903.12,22.49,1060.57,5
berlin,ALT,0,0,8,64,92.77,0.00,1016.97,17.01,1060.57,5
berlin,ALT,0,0,16,128,95.14,0.00,683.02,13.98,1060.57,5
berlin,ALT,0,0,32,256,96.30,0.00,520.80,10.98,1060.57,5
berlin,AAC,16,8,8,32,81.31,5.17,2626.73,32.56,1060.57,5
berlin,AAC,32,8,8,32,83.65,2.56,2298.12,35.52,1060.57,5
berlin,AAC,32,16,16,64,91.26,0.71,1228.22,20.99,1060.57,5
berlin,AAC,64,16,16,64,89.81,0.88,1432.55,22.04,1060.57,5
berlin,AAC,64,32,32,128,94.16,0.41,820.30,17.30,1060.57,5
los_angeles,ALT,0,0,4,32,85.41,0.00,3694.89,53.85,1139.69,5
los_angeles,ALT,0,0,8,64,91.11,0.00,2251.25,39.10,1139.69,5
los_angeles,ALT,0,0,16,128,94.20,0.00,1468.52,31.16,1139.69,5
los_angeles,ALT,0,0,32,256,95.32,0.00,1185.72,27.29,1139.69,5
los_angeles,AAC,16,8,8,32,79.14,4.68,5284.46,76.81,1139.69,5
los_angeles,AAC,32,8,8,32,79.31,3.47,5241.29,74.89,1139.69,5
los_angeles,AAC,32,16,16,64,87.48,2.09,3170.77,46.08,1139.69,5
los_angeles,AAC,64,16,16,64,86.95,0.88,3306.33,46.62,1139.69,5
los_angeles,AAC,64,32,32,128,92.14,1.36,1992.05,38.38,1143.37,5
manhattan,ALT,0,0,4,32,83.86,0.00,375.95,3.17,1060.57,5
manhattan,ALT,0,0,8,64,90.44,0.00,222.73,2.13,1060.57,5
manhattan,ALT,0,0,16,128,92.13,0.00,183.17,1.87,1060.57,5
manhattan,ALT,0,0,32,256,93.45,0.00,152.45,1.67,1060.57,5
manhattan,AAC,16,8,8,32,79.23,4.73,483.68,4.24,1060.57,5
manhattan,AAC,32,8,8,32,77.24,6.56,530.05,4.63,1060.57,5
manhattan,AAC,32,16,16,64,88.09,0.59,277.48,2.73,1060.57,5
manhattan,AAC,64,16,16,64,87.40,1.27,293.44,2.90,1060.57,5
manhattan,AAC,64,32,32,128,92.20,0.24,181.71,2.02,1060.57,5
modena,ALT,0,0,4,32,83.38,0.00,2651.31,21.60,1058.91,5
modena,ALT,0,0,8,64,91.20,0.00,1403.96,12.70,1058.91,5
modena,ALT,0,0,16,128,92.85,0.00,1141.00,10.78,1058.91,5
modena,ALT,0,0,32,256,94.37,0.00,898.58,9.43,1058.91,5
modena,AAC,16,8,8,32,80.67,2.92,3082.47,26.29,1058.91,5
modena,AAC,32,8,8,32,80.12,4.72,3170.28,26.91,1058.91,5
modena,AAC,32,16,16,64,87.69,1.25,1963.00,18.29,1058.91,5
modena,AAC,64,16,16,64,84.87,1.81,2413.30,21.59,1058.91,5
modena,AAC,64,32,32,128,91.93,0.65,1286.78,12.90,1059.97,5
