graph,seed,method,K0,m,bytes_per_vertex,val_reduction_pct,test_reduction_pct,val_mean_exp,test_mean_exp,preprocess_sec,selection
manhattan,42,AAC,32,8,32,81.57728625349428,82.42000582532351,429.03,422.5,0.18847134005045518,val-selected
manhattan,42,AAC,128,16,64,89.27563863088875,88.23243040818875,249.75,282.81,0.35736869199899957,val-selected
manhattan,42,AAC,32,32,128,92.34458800846784,91.08059751175468,178.28,214.36,0.1989805469638668,val-selected
manhattan,42,ALT,0,0,32,83.85656193506554,84.74930304165107,375.95,366.52,0.0066271580290049314,N/A
manhattan,42,ALT,0,0,64,90.43588785688829,90.26130736903426,222.73,234.05,0.009831339004449546,N/A
manhattan,42,ALT,0,0,128,92.13460952160116,91.72720842175343,183.17,198.82,0.047244374989531934,N/A
manhattan,42,ALT,0,0,256,93.45373817529125,92.72708359339242,152.45,174.79,0.029849374026525766,N/A
manhattan,123,AAC,32,8,32,83.18540370403768,80.43856364165939,391.58,470.12,0.18846489099087194,val-selected
manhattan,123,AAC,32,16,64,89.80895822329859,88.95893146922981,237.33,265.35,0.6577718099579215,val-selected
manhattan,123,AAC,64,32,128,91.86322628295139,90.76228519119545,189.49,222.01,0.23471311497269198,val-selected
manhattan,123,ALT,0,0,32,83.85656193506554,84.74930304165107,375.95,366.52,0.006646915979217738,N/A
manhattan,123,ALT,0,0,64,90.43588785688829,90.26130736903426,222.73,234.05,0.00982769497204572,N/A
manhattan,123,ALT,0,0,128,92.13460952160116,91.72720842175343,183.17,198.82,0.016486786014866084,N/A
manhattan,123,ALT,0,0,256,93.45373817529125,92.72708359339242,152.45,174.79,0.02971004997380078,N/A
manhattan,456,AAC,64,8,32,76.77397469093657,73.96662921815837,540.89,625.66,0.8404452870017849,val-selected
manhattan,456,AAC,128,16,64,86.98734546828636,86.92298090126077,303.04,314.28,0.3214230299927294,val-selected
manhattan,456,AAC,32,32,128,92.6322885937453,91.8428827029501,171.58,196.04,0.19971827697008848,val-selected
manhattan,456,ALT,0,0,32,83.85656193506554,84.74930304165107,375.95,366.52,0.006559070025105029,N/A
manhattan,456,ALT,0,0,64,90.43588785688829,90.26130736903426,222.73,234.05,0.010046493029221892,N/A
manhattan,456,ALT,0,0,128,92.13460952160116,91.72720842175343,183.17,198.82,0.016604066011495888,N/A
manhattan,456,ALT,0,0,256,93.45373817529125,92.72708359339242,152.45,174.79,0.029763067024759948,N/A
manhattan,789,AAC,64,8,32,80.16841219335197,82.2481587816752,461.84,426.63,0.6131694419891573,val-selected
manhattan,789,AAC,128,16,64,88.01791472898175,87.2491990180169,279.04,306.44,0.3215900770155713,val-selected
manhattan,789,AAC,64,32,128,91.77691610736815,91.32401281571173,191.5,208.51,0.24060275900410488,val-selected
manhattan,789,ALT,0,0,32,83.85656193506554,84.74930304165107,375.95,366.52,0.006530457001645118,N/A
manhattan,789,ALT,0,0,64,90.43588785688829,90.26130736903426,222.73,234.05,0.009948333026841283,N/A
manhattan,789,ALT,0,0,128,92.13460952160116,91.72720842175343,183.17,198.82,0.01657628401881084,N/A
manhattan,789,ALT,0,0,256,93.45373817529125,92.72708359339242,152.45,174.79,0.02955085999565199,N/A
manhattan,1024,AAC,32,8,32,84.32632975639919,81.34356925893563,365.01,448.37,0.18465925799682736,val-selected
manhattan,1024,AAC,64,16,64,87.88007609036374,86.38330628718845,282.25,327.25,0.22989234700798988,val-selected
manhattan,1024,AAC,128,32,128,92.68209944134557,91.45841135105897,170.42,205.28,0.9201611800235696,val-selected
manhattan,1024,ALT,0,0,32,83.85656193506554,84.74930304165107,375.95,366.52,0.006494046014267951,N/A
manhattan,1024,ALT,0,0,64,90.43588785688829,90.26130736903426,222.73,234.05,0.010754576011095196,N/A
manhattan,1024,ALT,0,0,128,92.13460952160116,91.72720842175343,183.17,198.82,0.016337465960532427,N/A
manhattan,1024,ALT,0,0,256,93.45373817529125,92.72708359339242,152.45,174.79,0.03323663800256327,N/A
