graph,seed,method,K0,m,bytes_per_vertex,val_reduction_pct,test_reduction_pct,val_mean_exp,test_mean_exp,preprocess_sec,selection
modena,42,AAC,128,8,32,82.67256155590971,80.02298987202934,2763.82,2957.9,1.0422752890153788,val-selected
modena,42,AAC,32,16,64,87.36343722532278,86.21283056383268,2015.6,2041.4,0.835508413030766,val-selected
modena,42,AAC,64,32,128,92.36113636278145,90.92534910296276,1218.44,1343.64,0.6155558230238967,val-selected
modena,42,ALT,0,0,32,83.37792952464305,82.84195070820152,2651.31,2540.51,0.04017179901711643,N/A
modena,42,ALT,0,0,64,91.19804094406835,89.28674664944903,1403.96,1586.26,0.06437268701847643,N/A
modena,42,ALT,0,0,128,92.84663716714293,91.47855134089576,1141.0,1261.73,0.11370032501872629,N/A
modena,42,ALT,0,0,256,94.36646032046563,93.15517758392924,898.58,1013.48,0.21413474902510643,N/A
modena,123,AAC,64,8,32,83.11693522601743,80.62103721873876,2692.94,2869.35,0.8693223459995352,val-selected
modena,123,AAC,128,16,64,87.73333065839776,85.98617365863147,1956.6,2074.96,1.042739614029415,val-selected
modena,123,AAC,32,32,128,92.45580400412776,91.4362726690674,1203.34,1267.99,0.37952146300813183,val-selected
modena,123,ALT,0,0,32,83.37792952464305,82.84195070820152,2651.31,2540.51,0.04054589394945651,N/A
modena,123,ALT,0,0,64,91.19804094406835,89.28674664944903,1403.96,1586.26,0.06301865802379325,N/A
modena,123,ALT,0,0,128,92.84663716714293,91.47855134089576,1141.0,1261.73,0.11124704999383539,N/A
modena,123,ALT,0,0,256,94.36646032046563,93.15517758392924,898.58,1013.48,0.20717932499246672,N/A
modena,456,AAC,32,8,32,79.80632630619402,79.68192390919675,3221.0,3008.4,0.37292710202746093,val-selected
modena,456,AAC,32,16,64,90.58288935672397,88.80749831830842,1502.08,1657.22,1.218622068001423,val-selected
modena,456,AAC,32,32,128,94.00402744985436,92.48986257405521,956.39,1111.99,0.37895314797060564,val-selected
modena,456,ALT,0,0,32,83.37792952464305,82.84195070820152,2651.31,2540.51,0.04040098801488057,N/A
modena,456,ALT,0,0,64,91.19804094406835,89.28674664944903,1403.96,1586.26,0.06880635197740048,N/A
modena,456,ALT,0,0,128,92.84663716714293,91.47855134089576,1141.0,1261.73,0.11476584401680157,N/A
modena,456,ALT,0,0,256,94.36646032046563,93.15517758392924,898.58,1013.48,0.21312427200609818,N/A
modena,789,AAC,32,8,32,83.08521216209608,82.67499723094961,2698.0,2565.23,0.37756026501301676,val-selected
modena,789,AAC,64,16,64,87.71138782762213,88.09504191396763,1960.1,1762.71,0.6106905330088921,val-selected
modena,789,AAC,32,32,128,93.52548565753887,91.76882886728279,1032.72,1218.75,0.3775947110261768,val-selected
modena,789,ALT,0,0,32,83.37792952464305,82.84195070820152,2651.31,2540.51,0.044476979004684836,N/A
modena,789,ALT,0,0,64,91.19804094406835,89.28674664944903,1403.96,1586.26,0.06321399402804673,N/A
modena,789,ALT,0,0,128,92.84663716714293,91.47855134089576,1141.0,1261.73,0.3223585379892029,N/A
modena,789,ALT,0,0,256,94.36646032046563,93.15517758392924,898.58,1013.48,0.21339402603916824,N/A
modena,1024,AAC,32,8,32,83.68663380675513,83.29080702285209,2602.07,2474.05,0.3789934819797054,val-selected
modena,1024,AAC,64,16,64,89.06895942080958,89.20158146546251,1743.56,1598.87,0.6000988960149698,val-selected
modena,1024,AAC,32,32,128,92.80889549820884,91.87898304260555,1147.02,1202.44,0.39147861598758027,val-selected
modena,1024,ALT,0,0,32,83.37792952464305,82.84195070820152,2651.31,2540.51,0.04013920301804319,N/A
modena,1024,ALT,0,0,64,91.19804094406835,89.28674664944903,1403.96,1586.26,0.06486472894903272,N/A
modena,1024,ALT,0,0,128,92.84663716714293,91.47855134089576,1141.0,1261.73,0.11669466499006376,N/A
modena,1024,ALT,0,0,256,94.36646032046563,93.15517758392924,898.58,1013.48,0.2125616780249402,N/A
