graph,graph_kind,seed,query_mode,method,K0,m,alt_K,bytes_per_vertex,num_queries,mean_expansions,median_expansions,reduction_pct,all_optimal,preprocess_sec
NY,dimacs,42,uniform,AAC,64,16,8,64,100,13342.43,8037.5,89.99544178163877,True,66.5793023770093
NY,dimacs,42,uniform,ALT,0,0,8,64,100,11739.94,5850.5,91.19703733052617,True,2.264599326008465
NY,dimacs,42,uniform,Hybrid,64,16,8,128,100,8837.19,4730.5,93.37360721834631,True,68.84390170301776
NY,dimacs,42,hotspot,AAC,64,16,8,64,100,9799.09,6783.5,92.25626646733393,True,66.5793023770093
NY,dimacs,42,hotspot,ALT,0,0,8,64,100,8303.23,5040.0,93.43837023841614,True,2.264599326008465
NY,dimacs,42,hotspot,Hybrid,64,16,8,128,100,6025.99,4095.0,95.23795976662012,True,68.84390170301776
NY,dimacs,42,powerlaw,AAC,64,16,8,64,100,10543.25,8655.5,91.67850772022486,True,66.5793023770093
NY,dimacs,42,powerlaw,ALT,0,0,8,64,100,10772.5,6510.0,91.49756710844589,True,2.264599326008465
NY,dimacs,42,powerlaw,Hybrid,64,16,8,128,100,6970.65,4626.0,94.49826095748325,True,68.84390170301776
NY,dimacs,123,uniform,AAC,64,16,8,64,100,17478.94,11071.5,87.02186925373822,True,177.6621264660498
NY,dimacs,123,uniform,ALT,0,0,8,64,100,11516.31,8088.0,91.4491280996169,True,3.8591932380222715
NY,dimacs,123,uniform,Hybrid,64,16,8,128,100,8440.48,5529.0,93.73293500628714,True,181.52131970407208
NY,dimacs,123,hotspot,AAC,64,16,8,64,100,39540.71,29328.5,76.78515243996054,True,177.6621264660498
NY,dimacs,123,hotspot,ALT,0,0,8,64,100,21065.47,18728.0,87.63219793396263,True,3.8591932380222715
NY,dimacs,123,hotspot,Hybrid,64,16,8,128,100,16540.36,12849.0,90.28894686038328,True,181.52131970407208
NY,dimacs,123,powerlaw,AAC,64,16,8,64,100,15278.01,9565.5,87.50110545360657,True,177.6621264660498
NY,dimacs,123,powerlaw,ALT,0,0,8,64,100,10106.17,7038.5,91.73217237729752,True,3.8591932380222715
NY,dimacs,123,powerlaw,Hybrid,64,16,8,128,100,6942.35,4693.5,94.32048411055142,True,181.52131970407208
NY,dimacs,456,uniform,AAC,64,16,8,64,100,17450.23,9848.5,86.75257615346342,True,188.75423198600765
NY,dimacs,456,uniform,ALT,0,0,8,64,100,10934.98,7149.0,91.69865871032069,True,3.1719785930472426
NY,dimacs,456,uniform,Hybrid,64,16,8,128,100,9059.8,5824.5,93.12221039121822,True,191.9262105790549
NY,dimacs,456,hotspot,AAC,64,16,8,64,100,13001.44,9592.0,90.21492788259816,True,188.75423198600765
NY,dimacs,456,hotspot,ALT,0,0,8,64,100,10916.98,8376.0,91.78372267962368,True,3.1719785930472426
NY,dimacs,456,hotspot,Hybrid,64,16,8,128,100,8276.12,6462.0,93.77127217813783,True,191.9262105790549
NY,dimacs,456,powerlaw,AAC,64,16,8,64,100,12682.09,6964.5,88.78237736550668,True,188.75423198600765
NY,dimacs,456,powerlaw,ALT,0,0,8,64,100,9561.93,4982.5,91.54223614582133,True,3.1719785930472426
NY,dimacs,456,powerlaw,Hybrid,64,16,8,128,100,7343.5,3472.0,93.50449241281196,True,191.9262105790549
NY,dimacs,789,uniform,AAC,64,16,8,64,100,15118.85,10302.0,88.06062002157307,True,207.76776479702676
NY,dimacs,789,uniform,ALT,0,0,8,64,100,10450.38,7921.0,91.74731823260677,True,3.6602947039646097
NY,dimacs,789,uniform,Hybrid,64,16,8,128,100,8323.76,5995.0,93.42671344121868,True,211.42805950099137
NY,dimacs,789,hotspot,AAC,64,16,8,64,100,20902.72,12059.0,86.52141001751924,True,207.76776479702676
NY,dimacs,789,hotspot,ALT,0,0,8,64,100,13383.15,10983.5,91.37021442548925,True,3.6602947039646097
NY,dimacs,789,hotspot,Hybrid,64,16,8,128,100,11254.23,8623.5,92.74299460842731,True,211.42805950099137
NY,dimacs,789,powerlaw,AAC,64,16,8,64,100,17039.43,12336.5,86.3922010648299,True,207.76776479702676
NY,dimacs,789,powerlaw,ALT,0,0,8,64,100,10839.66,8330.0,91.34337746006727,True,3.6602947039646097
NY,dimacs,789,powerlaw,Hybrid,64,16,8,128,100,8908.25,6674.5,92.88581397005481,True,211.42805950099137
NY,dimacs,1024,uniform,AAC,64,16,8,64,100,20885.57,13348.0,85.22217152936055,True,245.5509946840466
NY,dimacs,1024,uniform,ALT,0,0,8,64,100,11424.23,7001.0,91.91665291638517,True,6.088414747035131
