graph,K0,m,budget_bpv,seed,preprocess_s,mean_expansions,median_expansions,expansion_reduction_pct,dijkstra_mean
NY,32,4,32,42,2.9370745749911293,19858.21,12077.5,85.10971254430841,133363.51
NY,32,4,32,123,2.7755938799818978,19858.21,12077.5,85.10971254430841,133363.51
NY,32,4,32,456,2.4373626720625907,19858.21,12077.5,85.10971254430841,133363.51
NY,32,4,32,789,2.3972454860340804,19858.21,12077.5,85.10971254430841,133363.51
NY,32,4,32,1024,2.3708295150427148,19858.21,12077.5,85.10971254430841,133363.51
NY,64,8,64,42,3.3005977789871395,11739.94,5850.5,91.19703733052617,133363.51
NY,64,8,64,123,3.1966871949844062,11739.94,5850.5,91.19703733052617,133363.51
NY,64,8,64,456,3.146844918956049,11739.94,5850.5,91.19703733052617,133363.51
NY,64,8,64,789,3.3123374349670485,11739.94,5850.5,91.19703733052617,133363.51
NY,64,8,64,1024,4.534749485901557,11739.94,5850.5,91.19703733052617,133363.51
NY,128,16,128,42,5.6595942210406065,8366.41,4590.5,93.72661232446566,133363.51
NY,128,16,128,123,6.472242031013593,8366.41,4590.5,93.72661232446566,133363.51
NY,128,16,128,456,5.733177925925702,8366.41,4590.5,93.72661232446566,133363.51
NY,128,16,128,789,9.154394846991636,8366.41,4590.5,93.72661232446566,133363.51
NY,128,16,128,1024,11.645855825045146,8366.41,4590.5,93.72661232446566,133363.51
