graph,K0,m,budget_bpv,seed,preprocess_s,mean_expansions,median_expansions,expansion_reduction_pct,dijkstra_mean
ba,32,8,32,42,0.1340276279952377,480.9,245.5,89.90477869864222,4763.64
ba,32,8,32,123,0.13260107510723174,480.9,245.5,89.90477869864222,4763.64
ba,32,8,32,456,0.12421081401407719,480.9,245.5,89.90477869864222,4763.64
ba,32,8,32,789,0.1830578549997881,480.9,245.5,89.90477869864222,4763.64
ba,32,8,32,1024,0.17655572399962693,480.9,245.5,89.90477869864222,4763.64
ba,64,16,64,42,0.2189485050039366,274.08,140.5,94.24641660578885,4763.64
ba,64,16,64,123,0.1922720179427415,274.08,140.5,94.24641660578885,4763.64
ba,64,16,64,456,0.18622982897795737,274.08,140.5,94.24641660578885,4763.64
ba,64,16,64,789,0.19622572406660765,274.08,140.5,94.24641660578885,4763.64
ba,64,16,64,1024,0.2412130869925022,274.08,140.5,94.24641660578885,4763.64
ba,128,32,128,42,0.39085156295914203,146.03,64.5,96.93448707291064,4763.64
ba,128,32,128,123,0.34983001195359975,146.03,64.5,96.93448707291064,4763.64
ba,128,32,128,456,0.3901039909105748,146.03,64.5,96.93448707291064,4763.64
ba,128,32,128,789,0.512462793965824,146.03,64.5,96.93448707291064,4763.64
ba,128,32,128,1024,0.3689903650665656,146.03,64.5,96.93448707291064,4763.64
