graph,K0,m,budget_bpv,seed,preprocess_s,mean_expansions,median_expansions,expansion_reduction_pct,dijkstra_mean
manhattan,32,4,32,42,0.6093021010747179,375.95,243.5,83.85656193506554,2328.81
manhattan,32,4,32,123,0.1791522849816829,375.95,243.5,83.85656193506554,2328.81
manhattan,32,4,32,456,0.12206158693879843,375.95,243.5,83.85656193506554,2328.81
manhattan,32,4,32,789,0.11887213890440762,375.95,243.5,83.85656193506554,2328.81
manhattan,32,4,32,1024,0.1160754068987444,375.95,243.5,83.85656193506554,2328.81
manhattan,64,8,64,42,0.155852688010782,222.73,148.0,90.43588785688829,2328.81
manhattan,64,8,64,123,0.2018607590580359,222.73,148.0,90.43588785688829,2328.81
manhattan,64,8,64,456,0.1689693039515987,222.73,148.0,90.43588785688829,2328.81
manhattan,64,8,64,789,0.17076334706507623,222.73,148.0,90.43588785688829,2328.81
manhattan,64,8,64,1024,0.1480710500618443,222.73,148.0,90.43588785688829,2328.81
manhattan,128,16,128,42,0.16047293099109083,183.17,118.5,92.13460952160116,2328.81
manhattan,128,16,128,123,0.16691382706630975,183.17,118.5,92.13460952160116,2328.81
manhattan,128,16,128,456,0.2169652080629021,183.17,118.5,92.13460952160116,2328.81
manhattan,128,16,128,789,0.1930982150370255,183.17,118.5,92.13460952160116,2328.81
manhattan,128,16,128,1024,0.16455072804819793,183.17,118.5,92.13460952160116,2328.81
