graph,K0,m,budget_bpv,seed,preprocess_s,mean_expansions,median_expansions,expansion_reduction_pct,dijkstra_mean
modena,32,4,32,42,0.7988111419836059,2651.31,2058.0,83.37792952464305,15950.54
modena,32,4,32,123,0.8305437540402636,2651.31,2058.0,83.37792952464305,15950.54
modena,32,4,32,456,0.814767554984428,2651.31,2058.0,83.37792952464305,15950.54
modena,32,4,32,789,1.0758537409128621,2651.31,2058.0,83.37792952464305,15950.54
modena,32,4,32,1024,0.9404039509827271,2651.31,2058.0,83.37792952464305,15950.54
modena,64,8,64,42,1.0730041870847344,1403.96,933.5,91.19804094406835,15950.54
modena,64,8,64,123,0.7241028799908236,1403.96,933.5,91.19804094406835,15950.54
modena,64,8,64,456,0.9489288220647722,1403.96,933.5,91.19804094406835,15950.54
modena,64,8,64,789,0.9155896890442818,1403.96,933.5,91.19804094406835,15950.54
modena,64,8,64,1024,0.9235581860411912,1403.96,933.5,91.19804094406835,15950.54
modena,128,16,128,42,1.1488933979999274,1141.0,774.0,92.84663716714293,15950.54
modena,128,16,128,123,1.4134514590259641,1141.0,774.0,92.84663716714293,15950.54
modena,128,16,128,456,1.3919055450242013,1141.0,774.0,92.84663716714293,15950.54
modena,128,16,128,789,1.171121221035719,1141.0,774.0,92.84663716714293,15950.54
modena,128,16,128,1024,1.2967600240372121,1141.0,774.0,92.84663716714293,15950.54
