graph,K0,m,budget_bpv,seed,preprocess_s,mean_expansions,median_expansions,expansion_reduction_pct,dijkstra_mean
sbm,32,8,32,42,0.7576457029208541,535.68,334.0,89.94971857410881,5330.0
sbm,32,8,32,123,0.3622139539802447,535.68,334.0,89.94971857410881,5330.0
sbm,32,8,32,456,0.3349173389142379,535.68,334.0,89.94971857410881,5330.0
sbm,32,8,32,789,0.2693227829877287,535.68,334.0,89.94971857410881,5330.0
sbm,32,8,32,1024,0.3288087120745331,535.68,334.0,89.94971857410881,5330.0
sbm,64,16,64,42,0.5624320370843634,291.98,196.5,94.52195121951219,5330.0
sbm,64,16,64,123,0.4675763890845701,291.98,196.5,94.52195121951219,5330.0
sbm,64,16,64,456,0.5001331500243396,291.98,196.5,94.52195121951219,5330.0
sbm,64,16,64,789,0.5398416030220687,291.98,196.5,94.52195121951219,5330.0
sbm,64,16,64,1024,0.5507836729520932,291.98,196.5,94.52195121951219,5330.0
sbm,128,32,128,42,1.0085915660019964,157.89,81.0,97.03771106941839,5330.0
sbm,128,32,128,123,0.8466304930625483,157.89,81.0,97.03771106941839,5330.0
sbm,128,32,128,456,0.8373544589849189,157.89,81.0,97.03771106941839,5330.0
sbm,128,32,128,789,0.8243003269890323,157.89,81.0,97.03771106941839,5330.0
sbm,128,32,128,1024,0.8208234179764986,157.89,81.0,97.03771106941839,5330.0
