graph_type,budget_bpv,hit_K0,hit_m,alt_K,seed,dij_mean_exp,hit_mean_exp,alt_mean_exp,hybrid_mean_exp,hit_reduction_pct,alt_reduction_pct,hybrid_reduction_pct,wilcoxon_stat,p_value_twosided
community_sbm,32,32,8,8,42,5330.0,573.4,535.7,330.7,89.24,89.95,93.80,2106.5,1.501576e-01
community_sbm,32,32,8,8,123,5330.0,568.8,535.7,334.0,89.33,89.95,93.73,2129.5,2.942156e-01
community_sbm,32,32,8,8,456,5330.0,631.5,535.7,351.2,88.15,89.95,93.41,1604.5,5.471492e-03
community_sbm,32,32,8,8,789,5330.0,638.0,535.7,353.9,88.03,89.95,93.36,1768.0,1.359997e-02
community_sbm,32,32,8,8,1024,5330.0,602.5,535.7,343.5,88.70,89.95,93.56,2122.0,2.179147e-01
community_sbm,64,64,16,16,42,5330.0,307.3,292.0,172.9,94.23,94.52,96.76,2007.0,1.836511e-01
community_sbm,64,64,16,16,123,5330.0,304.2,292.0,168.5,94.29,94.52,96.84,2347.0,9.154633e-01
community_sbm,64,64,16,16,456,5330.0,292.4,292.0,170.8,94.51,94.52,96.79,2311.5,4.628873e-01
community_sbm,64,64,16,16,789,5330.0,323.7,292.0,178.8,93.93,94.52,96.65,1951.5,9.301692e-02
community_sbm,64,64,16,16,1024,5330.0,365.7,292.0,190.7,93.14,94.52,96.42,1665.5,1.547387e-02
community_sbm,128,128,32,32,42,5330.0,156.2,157.9,93.2,97.07,97.04,98.25,1953.0,5.794905e-01
community_sbm,128,128,32,32,123,5330.0,169.7,157.9,94.2,96.82,97.04,98.23,2119.5,4.460611e-01
community_sbm,128,128,32,32,456,5330.0,173.0,157.9,101.5,96.75,97.04,98.10,1830.5,1.295035e-01
community_sbm,128,128,32,32,789,5330.0,164.9,157.9,93.5,96.91,97.04,98.25,2219.0,5.708608e-01
community_sbm,128,128,32,32,1024,5330.0,158.5,157.9,92.7,97.03,97.04,98.26,2086.0,8.364881e-01
