graph_type,budget_bpv,hit_K0,hit_m,alt_K,seed,dij_mean_exp,hit_mean_exp,alt_mean_exp,hybrid_mean_exp,hit_reduction_pct,alt_reduction_pct,hybrid_reduction_pct,wilcoxon_stat,p_value_twosided
ogbn_arxiv,32,32,8,4,42,78616.5,9746.3,17496.1,7497.9,87.60,77.75,90.46,266.0,8.025541e-15
ogbn_arxiv,32,32,8,4,123,78616.5,12454.8,17496.1,8862.3,84.16,77.75,88.73,866.0,1.169039e-08
ogbn_arxiv,32,32,8,4,456,78616.5,13047.4,17496.1,9523.0,83.40,77.75,87.89,650.0,1.141919e-10
ogbn_arxiv,32,32,8,4,789,78616.5,11725.2,17496.1,8566.2,85.09,77.75,89.10,678.5,2.168935e-10
ogbn_arxiv,32,32,8,4,1024,78616.5,11927.1,17496.1,8622.4,84.83,77.75,89.03,627.0,6.757395e-11
ogbn_arxiv,64,64,16,8,42,78616.5,5694.5,10885.5,4336.7,92.76,86.15,94.48,255.0,5.950277e-15
ogbn_arxiv,64,64,16,8,123,78616.5,6126.9,10885.5,4490.6,92.21,86.15,94.29,473.0,1.720522e-12
ogbn_arxiv,64,64,16,8,456,78616.5,5441.2,10885.5,4282.7,93.08,86.15,94.55,198.0,1.904823e-15
ogbn_arxiv,64,64,16,8,789,78616.5,5493.4,10885.5,4397.0,93.01,86.15,94.41,200.0,2.014858e-15
ogbn_arxiv,64,64,16,8,1024,78616.5,6559.2,10885.5,4817.4,91.66,86.15,93.87,400.0,2.742903e-13
ogbn_arxiv,128,128,32,16,42,78616.5,3257.8,6818.6,2551.6,95.86,91.33,96.75,144.0,2.685946e-16
ogbn_arxiv,128,128,32,16,123,78616.5,2930.8,6818.6,2436.4,96.27,91.33,96.90,129.5,1.772930e-16
ogbn_arxiv,128,128,32,16,456,78616.5,3122.9,6818.6,2681.9,96.03,91.33,96.59,91.5,5.901558e-17
ogbn_arxiv,128,128,32,16,789,78616.5,3337.2,6818.6,2755.5,95.76,91.33,96.50,73.0,3.433907e-17
ogbn_arxiv,128,128,32,16,1024,78616.5,2946.9,6818.6,2557.7,96.25,91.33,96.75,32.0,1.019128e-17
