graph_type,budget_bpv,hit_K0,hit_m,alt_K,seed,dij_mean_exp,hit_mean_exp,alt_mean_exp,hybrid_mean_exp,hit_reduction_pct,alt_reduction_pct,hybrid_reduction_pct,wilcoxon_stat,p_value_twosided
powerlaw_ba,32,32,8,8,42,4763.6,512.9,480.9,303.2,89.23,89.90,93.63,1985.5,6.359061e-02
powerlaw_ba,32,32,8,8,123,4763.6,492.0,480.9,292.5,89.67,89.90,93.86,2427.0,8.669468e-01
powerlaw_ba,32,32,8,8,456,4763.6,561.8,480.9,306.7,88.21,89.90,93.56,1575.0,1.681590e-03
powerlaw_ba,32,32,8,8,789,4763.6,592.8,480.9,314.0,87.56,89.90,93.41,1435.5,2.853823e-04
powerlaw_ba,32,32,8,8,1024,4763.6,566.3,480.9,293.0,88.11,89.90,93.85,1648.5,5.897777e-03
powerlaw_ba,64,64,16,16,42,4763.6,319.9,274.1,178.0,93.28,94.25,96.26,1691.0,4.133945e-03
powerlaw_ba,64,64,16,16,123,4763.6,297.1,274.1,176.0,93.76,94.25,96.31,1932.5,4.162096e-02
powerlaw_ba,64,64,16,16,456,4763.6,304.6,274.1,171.9,93.60,94.25,96.39,1870.0,6.837205e-02
powerlaw_ba,64,64,16,16,789,4763.6,316.3,274.1,175.3,93.36,94.25,96.32,1934.5,5.920979e-02
powerlaw_ba,64,64,16,16,1024,4763.6,300.5,274.1,169.1,93.69,94.25,96.45,1993.0,9.249346e-02
powerlaw_ba,128,128,32,32,42,4763.6,157.7,146.0,90.0,96.69,96.93,98.11,2181.5,5.923687e-01
powerlaw_ba,128,128,32,32,123,4763.6,159.2,146.0,95.8,96.66,96.93,97.99,2039.0,1.707638e-01
powerlaw_ba,128,128,32,32,456,4763.6,174.3,146.0,93.8,96.34,96.93,98.03,1900.5,8.673589e-02
powerlaw_ba,128,128,32,32,789,4763.6,163.5,146.0,89.5,96.57,96.93,98.12,2366.0,8.329948e-01
powerlaw_ba,128,128,32,32,1024,4763.6,165.2,146.0,91.7,96.53,96.93,98.08,2067.5,2.661501e-01
