K0,m,lr,batch,init,seed,epochs,mean_expansions,expansion_reduction_pct,forced_first_m_pct,dij_mean,train_s
32,8,0.0003,128,block_sparse,42,200,573.44,89.24127579737335,89.94971857410881,5330.0,53.46568916505203
32,8,0.0003,128,block_sparse,43,200,569.83,89.30900562851782,89.94971857410881,5330.0,62.234430058975704
32,8,0.0003,128,block_sparse,44,200,627.44,88.22814258911819,89.94971857410881,5330.0,72.76854005304631
32,8,0.0003,128,identity_first_m,42,200,535.68,89.94971857410881,89.94971857410881,5330.0,70.69948127295356
32,8,0.0003,128,identity_first_m,43,200,535.68,89.94971857410881,89.94971857410881,5330.0,71.20736244495492
32,8,0.0003,128,identity_first_m,44,200,535.68,89.94971857410881,89.94971857410881,5330.0,71.40770674799569
32,8,0.0003,256,block_sparse,42,200,573.44,89.24127579737335,89.94971857410881,5330.0,66.3284447810147
32,8,0.0003,256,block_sparse,43,200,518.99,90.26285178236397,89.94971857410881,5330.0,68.95181510504335
32,8,0.0003,256,block_sparse,44,200,627.44,88.22814258911819,89.94971857410881,5330.0,66.70465927105397
32,8,0.0003,256,identity_first_m,42,200,535.68,89.94971857410881,89.94971857410881,5330.0,61.22434756893199
32,8,0.0003,256,identity_first_m,43,200,535.68,89.94971857410881,89.94971857410881,5330.0,60.07525389897637
32,8,0.0003,256,identity_first_m,44,200,535.68,89.94971857410881,89.94971857410881,5330.0,59.03315497597214
32,8,0.0003,512,block_sparse,42,200,573.44,89.24127579737335,89.94971857410881,5330.0,59.075973002938554
32,8,0.0003,512,block_sparse,43,200,569.83,89.30900562851782,89.94971857410881,5330.0,52.29845694301184
32,8,0.0003,512,block_sparse,44,200,627.44,88.22814258911819,89.94971857410881,5330.0,65.83720101497602
32,8,0.0003,512,identity_first_m,42,200,535.68,89.94971857410881,89.94971857410881,5330.0,63.18258507596329
32,8,0.0003,512,identity_first_m,43,200,535.68,89.94971857410881,89.94971857410881,5330.0,73.24484046990983
32,8,0.0003,512,identity_first_m,44,200,535.68,89.94971857410881,89.94971857410881,5330.0,79.65397866698913
32,8,0.001,128,block_sparse,42,200,585.41,89.01669793621014,89.94971857410881,5330.0,61.50524978991598
32,8,0.001,128,block_sparse,43,200,563.46,89.42851782363978,89.94971857410881,5330.0,69.26670712500345
32,8,0.001,128,block_sparse,44,200,592.0,88.89305816135085,89.94971857410881,5330.0,70.3630076389527
32,8,0.001,128,identity_first_m,42,200,535.68,89.94971857410881,89.94971857410881,5330.0,70.0442242649151
32,8,0.001,128,identity_first_m,43,200,535.68,89.94971857410881,89.94971857410881,5330.0,73.5282532289857
32,8,0.001,128,identity_first_m,44,200,535.68,89.94971857410881,89.94971857410881,5330.0,73.17710088996682
32,8,0.001,256,block_sparse,42,200,573.44,89.24127579737335,89.94971857410881,5330.0,85.1454972679494
32,8,0.001,256,block_sparse,43,200,518.99,90.26285178236397,89.94971857410881,5330.0,86.8061207429273
32,8,0.001,256,block_sparse,44,200,592.0,88.89305816135085,89.94971857410881,5330.0,69.82279514602851
32,8,0.001,256,identity_first_m,42,200,535.68,89.94971857410881,89.94971857410881,5330.0,70.64781750692055
