graph,budget,K0,m,seed,epochs,mean_expansions,expansion_reduction_pct,dijkstra_mean,alt_ref_pct,forced_first_m_pct
ba,64,64,16,42,0,306.87,93.55807743658211,4763.64,94.24641660578885,94.24641660578885
ba,64,64,16,42,50,302.55,93.64876439025619,4763.64,94.24641660578885,94.24641660578885
ba,64,64,16,42,200,319.91,93.28433718752886,4763.64,94.24641660578885,94.24641660578885
ba,64,64,16,42,500,293.53,93.83811539075161,4763.64,94.24641660578885,94.24641660578885
ba,64,64,16,42,1000,293.57,93.83727569673611,4763.64,94.24641660578885,94.24641660578885
ba,64,64,16,43,0,298.77,93.72811547472101,4763.64,94.24641660578885,94.24641660578885
ba,64,64,16,43,50,298.77,93.72811547472101,4763.64,94.24641660578885,94.24641660578885
ba,64,64,16,43,200,304.71,93.60342091341916,4763.64,94.24641660578885,94.24641660578885
ba,64,64,16,43,500,304.71,93.60342091341916,4763.64,94.24641660578885,94.24641660578885
ba,64,64,16,43,1000,293.63,93.83601615571285,4763.64,94.24641660578885,94.24641660578885
ba,64,64,16,44,0,315.0,93.38740962793159,4763.64,94.24641660578885,94.24641660578885
ba,64,64,16,44,50,316.22,93.36179896045881,4763.64,94.24641660578885,94.24641660578885
ba,64,64,16,44,200,316.22,93.36179896045881,4763.64,94.24641660578885,94.24641660578885
ba,64,64,16,44,500,303.32,93.6326002804578,4763.64,94.24641660578885,94.24641660578885
ba,64,64,16,44,1000,288.59,93.94181760166596,4763.64,94.24641660578885,94.24641660578885
